model,engine_power,previous_owners,price
lounge,62,1,8450
lounge,51,1,8650
pop,51,1,10100
lounge,51,2,4800
pop,51,3,8900
sport,62,1,6600
sport,51,1,6500
pop,62,1,6900
sport,74,1,4200
pop,51,2,9999
pop,62,2,6800
lounge,51,3,9980
lounge,51,4,9400
pop,73,1,6300
sport,51,2,6300
lounge,74,1,4600
sport,73,1,5100
lounge,77,1,9990
lounge,73,1,4500
sport,51,3,5800
sport,58,1,5800
sport,51,4,3900
pop,66,1,5800
pop,73,2,3600
pop,77,2,8500
lounge,62,2,7990
pop,62,3,7900
sport,73,2,4999
pop,74,1,7900
pop,51,4,7500
lounge,73,2,3850
sport,74,2,4900
pop,77,1,7999
pop,63,1,7500
