D1736,D1753,D1754,D1755,D1756,D1757,D1758,D1759,D1764,MoleculeElicitsResponse
0,0,0,0,0,0,0,0,0,Yes
0,1,1,0,1,1,0,0,1,Yes
0,1,1,0,0,0,1,1,1,No
1,0,1,1,0,0,0,0,1,Yes
0,0,0,1,0,1,0,1,1,Yes
1,0,0,0,0,0,1,0,1,Yes
1,1,0,1,0,0,0,1,0,Yes
0,0,0,1,1,1,0,0,1,Yes
1,0,0,0,1,0,0,0,0,Yes
0,1,0,1,0,0,0,0,1,No
0,1,1,0,0,0,0,0,1,Yes
0,0,0,1,1,1,0,1,1,Yes
0,0,0,1,0,1,0,0,1,No
0,0,1,0,0,0,0,1,1,No
0,0,0,1,0,0,0,0,0,Yes
0,0,0,1,0,1,1,0,1,Yes
0,0,0,0,0,0,0,1,1,Yes
0,1,0,1,0,1,0,0,1,Yes
1,0,1,0,0,1,0,1,0,No
0,0,1,0,1,0,0,1,1,No
1,1,0,0,0,1,0,1,0,Yes
0,1,0,1,0,0,0,1,1,No
0,0,0,0,0,1,0,0,0,Yes
1,0,0,1,0,0,1,1,0,No
0,1,0,0,1,1,0,0,1,No
1,1,1,0,0,1,1,1,0,Yes
1,1,0,1,1,0,0,1,1,No
1,0,0,0,1,0,1,0,1,Yes
1,0,0,1,0,1,0,1,0,No
0,0,1,1,0,0,0,0,0,Yes
1,0,0,0,0,0,0,0,1,No
1,0,1,0,0,0,1,1,0,Yes
1,0,1,0,0,1,0,1,1,No
1,0,0,1,0,1,1,0,1,Yes
1,0,1,1,0,1,0,1,0,Yes
0,1,0,0,0,1,0,0,1,Yes
1,0,0,0,1,1,1,0,1,Yes
1,0,1,1,0,1,1,0,1,No
0,0,0,0,0,0,0,1,0,Yes
1,0,1,0,0,1,0,0,0,Yes
1,1,1,0,0,1,0,0,0,No
0,1,0,0,0,1,1,1,1,Yes
1,1,1,0,1,0,1,0,0,Yes
1,0,0,0,0,1,1,0,1,No
0,0,0,0,0,0,1,1,0,No
1,0,1,0,1,1,1,1,0,No
1,0,1,1,1,0,0,0,1,Yes
0,0,0,0,1,0,0,1,1,Yes
1,0,1,1,1,0,0,0,0,Yes
0,0,0,0,1,1,0,0,0,No
1,1,1,1,1,0,1,1,1,Yes
1,1,0,1,0,1,0,0,0,Yes
1,1,0,1,0,1,1,0,1,No
1,0,1,0,0,1,1,0,1,Yes
0,1,0,0,0,1,0,1,1,No
0,0,1,1,0,0,1,0,0,Yes
0,0,0,0,0,1,0,1,1,Yes
0,0,1,1,1,1,0,1,1,No
0,1,0,1,0,1,1,1,1,Yes
1,1,1,1,0,1,0,0,1,Yes
0,0,1,1,0,0,1,1,1,No
0,1,1,1,0,0,0,0,1,Yes
0,0,1,0,0,0,0,0,0,No
0,0,1,1,0,0,0,0,1,No
0,1,0,0,0,1,1,0,1,Yes
0,0,0,0,1,0,0,0,0,No
1,0,0,0,0,0,1,1,1,Yes
0,1,0,0,0,0,0,0,1,Yes
0,1,0,0,0,1,0,0,0,Yes
1,1,1,0,0,1,0,1,0,Yes
0,0,0,0,0,1,0,1,0,No
0,0,1,1,0,1,1,0,0,No
1,1,1,0,0,1,1,1,1,Yes
1,0,1,0,1,0,1,0,0,Yes
1,1,0,0,0,1,0,0,0,No
0,0,0,0,0,1,0,0,1,Yes
1,0,1,0,1,0,1,1,0,Yes
1,0,1,1,0,0,0,1,0,No
0,0,0,1,0,0,0,0,1,No
0,0,0,1,0,0,0,1,0,Yes
0,0,1,1,0,1,0,0,0,Yes
1,0,0,0,0,1,0,0,1,Yes
0,0,0,1,0,1,0,0,0,Yes
1,0,1,1,0,0,1,0,1,Yes
0,1,1,0,1,1,0,0,0,Yes
0,1,0,1,0,1,0,1,1,No
1,1,1,0,1,1,1,1,0,No
