area_code,international_plan,voice_mail_plan,total_intl_calls,number_customer_service_calls,CustomerChurned
510.0,0,0,2,0,No
415.0,0,0,2,1,No
408.0,0,1,5,1,No
415.0,0,0,5,1,No
510.0,0,1,6,2,No
408.0,0,1,2,1,No
510.0,1,1,2,1,Yes
510.0,0,0,9,0,No
415.0,0,1,4,0,No
415.0,0,1,3,4,No
408.0,0,0,3,2,No
408.0,0,0,2,1,No
415.0,0,0,2,0,No
415.0,1,1,5,1,No
510.0,0,0,4,1,No
415.0,0,1,5,4,No
408.0,0,1,3,0,No
415.0,0,0,5,3,No
415.0,0,0,6,0,No
415.0,0,0,3,3,No
408.0,1,0,7,1,No
415.0,0,0,13,0,No
415.0,0,1,1,2,No
415.0,0,1,5,1,No
510.0,1,0,6,2,No
510.0,0,0,4,0,No
415.0,0,0,11,3,No
510.0,1,0,3,0,No
510.0,0,0,3,2,No
408.0,0,0,7,3,No
415.0,0,0,4,1,No
408.0,1,1,5,1,No
510.0,0,0,2,5,Yes
415.0,0,0,3,6,Yes
415.0,0,0,4,7,No
510.0,0,0,5,3,Yes
510.0,0,0,3,1,No
415.0,0,0,3,1,Yes
510.0,0,0,1,1,No
415.0,0,1,5,2,No
510.0,0,1,8,1,No
408.0,0,0,4,1,No
415.0,0,0,3,0,No
510.0,0,0,5,1,No
510.0,0,0,5,2,No
415.0,0,0,5,2,No
415.0,0,1,3,0,No
415.0,0,0,4,6,Yes
415.0,0,0,4,2,Yes
408.0,0,0,1,2,No
408.0,0,0,3,1,No
408.0,0,1,4,1,No
415.0,0,1,3,1,No
415.0,0,1,6,1,No
415.0,0,1,4,1,Yes
510.0,0,0,4,4,Yes
415.0,0,0,4,0,No
415.0,0,0,6,2,No
408.0,0,0,6,0,No
408.0,0,0,5,2,No
408.0,0,1,1,2,No
510.0,0,0,1,2,Yes
408.0,0,1,3,2,No
415.0,0,0,1,3,No
510.0,0,0,8,4,No
408.0,0,0,3,4,No
408.0,0,0,8,2,No
415.0,0,0,8,3,No
408.0,0,0,4,5,No
408.0,0,1,6,0,No
415.0,0,1,5,0,No
