other_debtors,other_installment_plans,housing,existing_credits_count,people_liable,telephone,foreign_worker,good_or_bad_customer
none,none,own,1,1,none,yes,bad
none,none,own,1,2,"yes, registered",yes,good
none,bank,own,1,1,none,yes,good
none,none,rent,1,1,none,yes,good
none,none,own,2,1,"yes, registered",yes,good
none,bank,rent,1,1,none,yes,good
none,none,own,1,1,"yes, registered",yes,good
co-applicant,none,rent,2,1,none,yes,good
guarantor,none,rent,1,2,none,no,good
none,none,own,2,1,none,yes,good
guarantor,bank,own,1,1,none,yes,good
co-applicant,none,rent,1,1,none,yes,bad
none,none,for free,1,1,none,yes,bad
co-applicant,none,own,1,1,none,yes,bad
none,none,rent,2,1,"yes, registered",yes,good
none,none,rent,2,1,none,yes,bad
none,none,for free,2,1,"yes, registered",yes,good
none,none,own,2,2,none,yes,good
none,stores,own,1,2,none,yes,bad
none,none,for free,2,1,none,yes,good
guarantor,none,own,2,1,none,yes,good
none,none,rent,1,1,"yes, registered",yes,good
none,bank,own,2,1,none,yes,bad
none,none,own,2,2,"yes, registered",yes,good
none,bank,for free,1,1,"yes, registered",yes,good
none,none,for free,1,1,"yes, registered",yes,good
co-applicant,none,rent,2,1,"yes, registered",yes,bad
none,bank,own,1,1,"yes, registered",yes,bad
none,none,rent,1,2,none,yes,good
none,none,rent,3,2,none,yes,good
none,bank,rent,1,1,"yes, registered",yes,good
none,bank,for free,2,1,"yes, registered",yes,bad
none,none,own,1,1,none,no,good
none,stores,own,1,1,none,yes,good
none,none,own,1,2,none,yes,bad
none,none,own,4,1,"yes, registered",yes,good
none,none,for free,2,2,"yes, registered",yes,good
none,none,for free,2,2,none,yes,bad
none,bank,rent,3,1,"yes, registered",yes,bad
none,bank,own,3,2,"yes, registered",yes,good
none,none,for free,3,1,"yes, registered",yes,good
none,bank,own,1,2,"yes, registered",yes,bad
none,bank,own,2,2,none,yes,good
none,bank,own,2,1,none,no,good
none,bank,rent,2,1,none,yes,bad
guarantor,stores,own,1,2,none,yes,good
none,bank,for free,2,2,"yes, registered",yes,good
none,stores,for free,2,1,none,yes,bad
none,bank,rent,1,1,none,no,good
none,bank,rent,1,2,none,yes,bad
none,bank,own,1,2,none,yes,bad
guarantor,none,own,2,1,"yes, registered",yes,good
none,bank,own,2,1,"yes, registered",yes,good
none,none,for free,3,2,none,yes,bad
none,none,own,1,2,none,no,good
none,none,own,3,1,none,yes,good
none,none,rent,2,2,none,no,good
none,stores,own,1,1,"yes, registered",yes,good
co-applicant,none,own,1,2,none,yes,bad
none,none,for free,1,2,"yes, registered",yes,good
guarantor,bank,rent,1,1,none,no,good
none,none,own,4,2,"yes, registered",yes,good
none,stores,own,2,2,none,yes,bad
guarantor,none,own,1,2,none,yes,good
co-applicant,bank,own,2,1,none,yes,good
guarantor,none,for free,1,2,none,yes,good
none,stores,rent,1,1,none,yes,good
guarantor,bank,own,1,2,"yes, registered",yes,good
guarantor,bank,rent,1,1,"yes, registered",yes,bad
guarantor,none,own,1,1,none,yes,good
none,none,own,1,1,"yes, registered",no,good
none,stores,own,2,1,none,yes,bad
none,none,own,3,2,"yes, registered",yes,good
none,none,for free,1,2,none,yes,good
none,stores,own,2,1,"yes, registered",yes,good
none,bank,rent,2,2,none,yes,bad
none,bank,for free,2,1,none,yes,good
none,stores,own,1,2,"yes, registered",yes,good
guarantor,bank,own,2,1,none,yes,bad
guarantor,none,own,1,1,none,no,good
none,none,own,3,2,none,yes,good
none,none,rent,1,2,"yes, registered",yes,good
none,bank,for free,3,1,none,yes,good
guarantor,none,own,2,1,none,no,good
none,none,own,2,1,none,no,good
none,none,own,2,2,none,no,good
guarantor,none,own,1,1,"yes, registered",yes,good
co-applicant,none,for free,1,1,"yes, registered",yes,good
none,none,rent,2,2,none,yes,good
co-applicant,bank,own,2,1,"yes, registered",yes,good
guarantor,none,rent,1,1,none,yes,bad
none,none,own,3,1,"yes, registered",yes,bad
co-applicant,none,own,1,1,none,no,good
co-applicant,bank,for free,1,1,"yes, registered",yes,good
none,none,own,3,2,none,no,good
none,none,rent,2,2,"yes, registered",yes,good
none,bank,for free,1,1,none,yes,bad
co-applicant,none,own,1,1,"yes, registered",yes,good
none,stores,for free,1,1,"yes, registered",yes,bad
co-applicant,none,rent,2,1,none,no,good
none,stores,own,2,2,"yes, registered",yes,good
none,stores,for free,3,2,"yes, registered",yes,bad
none,bank,own,3,1,none,yes,good
co-applicant,stores,own,1,1,none,yes,bad
guarantor,bank,rent,2,1,none,no,bad
guarantor,bank,rent,2,1,"yes, registered",yes,good
none,none,own,4,1,none,yes,good
co-applicant,none,own,2,1,"yes, registered",yes,good
none,bank,for free,1,2,"yes, registered",yes,good
guarantor,bank,rent,2,2,"yes, registered",yes,good
none,none,rent,1,1,none,no,good
none,bank,rent,4,1,none,yes,bad
none,bank,for free,1,2,none,yes,good
co-applicant,none,own,2,1,none,yes,good
none,bank,own,1,1,"yes, registered",no,bad
co-applicant,none,rent,1,1,"yes, registered",yes,bad
co-applicant,none,for free,1,1,none,yes,bad
none,bank,own,2,2,"yes, registered",yes,bad
none,stores,own,4,2,"yes, registered",yes,good
none,none,rent,3,1,"yes, registered",yes,good
guarantor,bank,own,3,1,"yes, registered",yes,good
guarantor,none,own,2,2,none,no,good
co-applicant,none,own,2,2,"yes, registered",yes,bad
guarantor,bank,rent,1,1,none,yes,bad
none,none,for free,3,2,"yes, registered",yes,good
none,none,rent,1,2,none,no,good
co-applicant,bank,own,1,1,"yes, registered",yes,good
none,bank,rent,2,2,"yes, registered",yes,good
