molecule_structure_property_1609,molecule_structure_property_1610,molecule_structure_property_1611,molecule_structure_property_1612,molecule_structure_property_1613,molecule_structure_property_1614,molecule_structure_property_1615,molecule_structure_property_1616,molecule_structure_property_1617,CompoundActivity
0,0,0,0,0,0,0,0,0,CM
1,0,0,0,1,0,0,0,0,CI
0,0,0,0,0,0,0,1,0,CI
0,1,0,0,0,0,0,0,0,CI
1,0,0,0,0,0,0,0,1,CM
1,0,0,0,0,0,0,0,0,CA
0,0,1,0,0,0,0,0,0,CI
0,0,0,0,1,0,0,0,0,CI
0,0,0,1,0,0,0,1,0,CI
0,0,0,0,0,0,1,0,0,CI
0,0,0,1,0,0,0,0,0,CI
0,0,1,0,0,0,1,0,0,CI
0,0,0,0,0,0,0,0,1,CI
1,0,1,0,0,0,0,0,0,CI
0,0,1,0,0,0,1,1,0,CI
0,0,1,1,0,0,0,0,0,CI
0,1,1,0,0,0,0,0,0,CI
1,0,0,0,0,0,0,1,0,CI
0,0,0,0,1,0,0,0,1,CI
0,0,1,1,0,0,1,0,0,CI
0,1,1,0,0,0,1,0,0,CI
1,0,0,1,0,0,0,0,0,CI
0,0,0,0,1,0,0,1,0,CI
0,0,1,0,0,0,0,1,0,CI
0,0,0,0,0,1,1,0,0,CI
0,0,0,0,0,1,0,0,0,CI
0,0,0,0,1,0,0,1,1,CI
0,0,0,1,0,0,1,0,0,CI
1,1,0,0,0,0,0,0,0,CI
0,0,0,1,0,1,1,0,0,CI
1,0,0,1,0,0,1,0,1,CI
1,1,1,0,0,0,0,0,0,CI
1,0,0,0,0,0,1,0,0,CI
0,0,0,1,0,0,0,0,1,CI
0,0,0,0,1,1,0,0,0,CI
0,0,1,0,1,0,0,0,0,CI
0,0,0,0,0,0,0,1,1,CI
1,0,0,0,1,0,0,0,1,CI
0,0,0,1,1,0,0,0,0,CI
0,1,0,1,0,0,0,0,0,CI
0,0,1,0,0,0,0,0,1,CA
0,1,1,0,0,0,0,1,0,CI
1,0,0,0,0,1,0,0,0,CI
0,0,1,1,0,0,0,1,0,CI
1,0,0,1,0,0,0,1,0,CI
1,0,1,0,0,0,0,0,1,CI
0,0,0,0,1,0,1,0,0,CI
0,0,0,1,1,1,1,0,0,CI
0,0,1,1,1,1,1,0,0,CI
0,0,0,0,0,0,1,0,1,CI
0,1,0,0,0,0,1,0,0,CI
0,0,1,0,0,0,1,0,1,CI
0,1,0,0,0,0,0,0,1,CI
1,0,1,1,0,0,0,0,0,CI
1,0,1,0,0,0,0,1,0,CI
