gender,relevent_experience,enrolled_university,education_level,major_discipline,company_type,LookingForJobChange
nan,Has relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Masters,Humanities,Funded Startup,No
Male,Has relevent experience,no_enrollment,Masters,STEM,Pvt Ltd,No
Male,No relevent experience,no_enrollment,Masters,STEM,NGO,No
Male,Has relevent experience,no_enrollment,High School,nan,Public Sector,No
Male,Has relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,Yes
Male,No relevent experience,Full time course,Graduate,STEM,nan,No
nan,Has relevent experience,Full time course,Phd,STEM,Pvt Ltd,No
Male,No relevent experience,no_enrollment,Primary School,nan,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Phd,STEM,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,STEM,nan,Yes
Male,No relevent experience,Full time course,Masters,Other,Other,Yes
nan,Has relevent experience,Full time course,Graduate,STEM,Public Sector,No
nan,Has relevent experience,Full time course,Graduate,STEM,nan,No
Male,No relevent experience,no_enrollment,Masters,STEM,nan,Yes
Male,Has relevent experience,no_enrollment,High School,nan,nan,No
Female,No relevent experience,Full time course,Graduate,STEM,Public Sector,Yes
nan,Has relevent experience,no_enrollment,Masters,STEM,nan,Yes
Male,Has relevent experience,Full time course,Masters,STEM,Pvt Ltd,Yes
Female,No relevent experience,Full time course,Graduate,STEM,nan,Yes
nan,No relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Graduate,Other,Pvt Ltd,No
Male,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,No
nan,No relevent experience,Full time course,High School,nan,nan,Yes
nan,Has relevent experience,no_enrollment,Graduate,STEM,nan,No
Female,No relevent experience,no_enrollment,Graduate,Humanities,NGO,No
Female,No relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
nan,No relevent experience,Full time course,Graduate,STEM,nan,No
Male,Has relevent experience,no_enrollment,Graduate,Business Degree,nan,No
Male,No relevent experience,Full time course,Graduate,Humanities,nan,No
Male,Has relevent experience,no_enrollment,Graduate,STEM,Funded Startup,No
Male,No relevent experience,Full time course,High School,nan,Pvt Ltd,No
Male,Has relevent experience,Full time course,Graduate,STEM,nan,Yes
Male,Has relevent experience,no_enrollment,Graduate,STEM,nan,No
nan,Has relevent experience,no_enrollment,Masters,STEM,Pvt Ltd,Yes
Male,No relevent experience,no_enrollment,Primary School,nan,nan,No
nan,No relevent experience,no_enrollment,Masters,STEM,Public Sector,No
Male,No relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,No
Male,Has relevent experience,Full time course,Masters,STEM,nan,No
Male,Has relevent experience,nan,Graduate,STEM,nan,No
Male,Has relevent experience,Full time course,High School,nan,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,STEM,Funded Startup,Yes
Male,Has relevent experience,Part time course,Primary School,nan,nan,No
Male,Has relevent experience,no_enrollment,High School,nan,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Masters,STEM,Funded Startup,Yes
Male,No relevent experience,no_enrollment,High School,nan,nan,No
Male,No relevent experience,no_enrollment,Masters,STEM,Funded Startup,No
Male,No relevent experience,Full time course,High School,nan,nan,Yes
Male,Has relevent experience,no_enrollment,nan,nan,Pvt Ltd,No
Male,No relevent experience,Full time course,Masters,STEM,Public Sector,No
Male,Has relevent experience,no_enrollment,Masters,STEM,NGO,No
Male,Has relevent experience,Part time course,Masters,STEM,Pvt Ltd,No
Female,Has relevent experience,Full time course,Phd,STEM,Pvt Ltd,No
Male,No relevent experience,no_enrollment,High School,nan,Public Sector,No
nan,Has relevent experience,no_enrollment,Graduate,STEM,Funded Startup,No
nan,No relevent experience,no_enrollment,Masters,STEM,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Graduate,Humanities,nan,No
Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,No
Male,No relevent experience,Full time course,High School,nan,Public Sector,Yes
nan,No relevent experience,no_enrollment,Graduate,Business Degree,nan,Yes
Male,Has relevent experience,no_enrollment,Graduate,Arts,Early Stage Startup,No
Male,Has relevent experience,no_enrollment,Graduate,Humanities,Pvt Ltd,Yes
nan,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,No
nan,No relevent experience,Full time course,Graduate,STEM,Pvt Ltd,Yes
Male,Has relevent experience,no_enrollment,Graduate,STEM,NGO,No
Male,Has relevent experience,no_enrollment,Masters,STEM,Early Stage Startup,No
Male,Has relevent experience,no_enrollment,Graduate,STEM,Early Stage Startup,No
Male,No relevent experience,Full time course,Graduate,STEM,Pvt Ltd,No
Male,No relevent experience,no_enrollment,Masters,Arts,nan,Yes
Male,Has relevent experience,nan,Graduate,Other,nan,No
nan,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,No
Other,Has relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,Yes
Female,Has relevent experience,no_enrollment,Graduate,STEM,nan,No
Male,Has relevent experience,no_enrollment,Masters,Humanities,Pvt Ltd,No
Male,Has relevent experience,Part time course,Graduate,STEM,nan,Yes
nan,Has relevent experience,no_enrollment,Masters,STEM,Public Sector,No
Male,Has relevent experience,Full time course,High School,nan,Early Stage Startup,Yes
nan,Has relevent experience,Full time course,Graduate,STEM,NGO,Yes
Male,No relevent experience,no_enrollment,Graduate,STEM,nan,No
Female,Has relevent experience,no_enrollment,Graduate,STEM,Other,No
Male,Has relevent experience,no_enrollment,Graduate,Business Degree,Pvt Ltd,No
Female,No relevent experience,nan,nan,nan,nan,No
nan,Has relevent experience,no_enrollment,Graduate,Humanities,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,No Major,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,STEM,Public Sector,No
Male,No relevent experience,Full time course,Masters,STEM,NGO,No
Female,No relevent experience,no_enrollment,Graduate,STEM,nan,Yes
Male,No relevent experience,no_enrollment,Masters,STEM,Early Stage Startup,No
Male,No relevent experience,Full time course,Masters,Business Degree,nan,No
Male,Has relevent experience,Part time course,Masters,STEM,nan,No
nan,No relevent experience,Part time course,Graduate,STEM,Pvt Ltd,No
Male,No relevent experience,Part time course,High School,nan,Pvt Ltd,No
nan,Has relevent experience,no_enrollment,Masters,STEM,Early Stage Startup,Yes
Male,Has relevent experience,no_enrollment,Graduate,Arts,Pvt Ltd,No
Male,Has relevent experience,Full time course,High School,nan,Funded Startup,No
nan,Has relevent experience,no_enrollment,Graduate,STEM,NGO,Yes
nan,No relevent experience,nan,Graduate,STEM,nan,Yes
nan,No relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
Male,Has relevent experience,Part time course,Graduate,STEM,Funded Startup,No
Male,Has relevent experience,no_enrollment,Graduate,No Major,nan,Yes
Male,Has relevent experience,no_enrollment,High School,nan,Funded Startup,No
Female,No relevent experience,no_enrollment,Phd,STEM,Public Sector,No
Female,No relevent experience,no_enrollment,Graduate,STEM,NGO,No
Female,Has relevent experience,no_enrollment,Masters,STEM,nan,No
Female,No relevent experience,Full time course,Graduate,STEM,Pvt Ltd,No
Male,Has relevent experience,Part time course,Graduate,STEM,NGO,No
Male,Has relevent experience,no_enrollment,High School,nan,Early Stage Startup,No
nan,No relevent experience,Full time course,Graduate,STEM,Funded Startup,Yes
Male,No relevent experience,Full time course,Graduate,STEM,Public Sector,No
