FCFP6_1024_1015,FCFP6_1024_1016,FCFP6_1024_1017,FCFP6_1024_1018,FCFP6_1024_1019,FCFP6_1024_1020,FCFP6_1024_1021,FCFP6_1024_1022,FCFP6_1024_1023,MEDIAN_PXC50
0,0,1,0,0,0,0,0,0,5.699
0,0,0,0,1,0,0,0,0,5.284
0,0,0,1,0,0,0,0,0,4.0
0,0,0,0,0,0,0,0,0,5.118
0,0,0,0,0,0,1,0,0,7.824
0,0,0,0,0,0,0,1,0,5.301
0,0,0,1,1,0,0,0,0,5.886
0,0,0,1,1,0,0,1,0,9.553
0,0,0,0,0,1,0,0,0,4.104
0,1,0,0,0,0,0,0,0,7.409
1,0,0,1,1,0,0,0,0,5.565
0,0,0,0,0,0,0,0,1,5.699
1,0,0,0,0,0,1,1,0,8.921
0,1,0,1,0,0,0,1,0,5.398
1,0,0,0,0,0,0,0,0,5.231
0,0,1,0,1,0,0,0,0,8.398
0,1,0,0,1,0,0,0,0,9.481
0,1,0,1,0,0,0,0,0,6.174
0,0,0,1,0,1,0,0,0,7.009
1,0,0,0,1,0,0,0,0,4.301
0,0,1,0,0,1,0,0,0,5.336
0,0,0,0,1,1,0,0,1,4.056
0,0,1,1,0,0,0,0,0,4.301
0,0,0,0,1,0,0,1,0,9.678
1,0,0,0,0,0,0,1,0,7.432
0,0,0,0,0,1,0,0,1,4.086
1,0,0,1,0,0,0,0,0,7.959
0,0,0,0,0,1,1,0,0,7.602
0,1,0,0,1,0,0,0,1,5.027
0,0,0,0,1,0,0,0,1,4.62
1,0,0,1,0,1,0,0,0,9.638
1,1,0,1,0,0,0,0,0,5.959
0,0,0,0,1,0,1,0,0,5.51
1,1,0,0,0,0,0,0,0,6.538
0,0,0,0,0,1,0,1,0,4.638
0,0,0,1,1,0,0,0,1,5.347
0,0,1,1,1,0,0,0,0,6.186
1,0,0,0,0,0,1,0,0,10.149
1,0,0,0,0,1,0,0,0,4.301
0,0,0,1,0,0,1,0,0,6.0
0,0,0,1,0,0,0,0,1,4.708
0,1,0,1,1,1,0,0,0,5.398
0,1,0,0,0,0,0,0,1,6.77
0,1,0,1,1,0,0,0,0,7.403
1,0,1,0,0,0,0,1,0,5.886
0,1,0,0,0,1,0,0,0,5.0
0,0,0,1,0,0,0,1,0,6.458
0,0,0,0,1,1,0,0,0,5.284
0,1,0,1,0,1,0,0,0,5.398
0,0,1,0,0,1,0,0,1,4.638
0,1,0,1,0,1,0,1,0,5.398
0,0,0,1,1,0,1,0,0,5.568
1,0,1,1,0,0,0,1,0,6.0
0,0,1,0,0,0,0,1,0,6.522
1,0,0,1,1,1,0,0,0,4.301
0,0,1,1,0,0,1,0,0,5.432
0,0,1,0,1,0,0,1,0,5.301
0,1,0,0,0,0,0,1,0,4.181
0,0,1,0,0,0,1,0,0,5.097
0,0,1,0,1,0,1,0,0,6.328
