com.android.launcher.permission.UNINSTALL_SHORTCUT,com.sec.android.iap.permission.BILLING,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sec.android.provider.badge.permission.WRITE,android.permission.ACCESS_NETWORK_STATE,google.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.READ_SMS,android.permission.PROCESS_INCOMING_CALLS,Malware
0,0,0,0,1,0,0,0,0,Yes
0,0,0,0,1,0,0,1,0,Yes
0,0,0,0,0,0,0,1,0,No
1,0,0,0,1,0,0,0,0,No
0,0,1,1,1,0,1,0,0,No
0,0,0,0,1,1,0,0,0,No
0,1,1,1,1,0,1,0,0,No
1,0,0,0,1,0,0,1,0,Yes
0,0,0,0,0,0,0,0,0,No
1,0,1,1,1,1,0,0,0,No
0,0,1,1,1,0,0,1,0,Yes
0,0,1,1,1,0,0,0,0,No
1,0,0,0,1,1,0,0,0,No
0,0,1,1,1,1,1,0,0,No
1,0,0,0,1,0,1,0,0,Yes
1,0,1,1,1,0,0,0,0,No
1,0,0,0,1,0,1,1,0,No
0,0,0,1,1,0,0,0,0,No
0,0,0,0,1,0,0,0,1,Yes
1,0,1,0,1,0,1,0,0,No
0,1,0,0,1,0,0,0,0,No
1,0,1,1,1,1,1,0,0,No
0,0,0,0,1,0,0,1,1,Yes
1,0,0,0,1,1,1,0,0,No
0,0,0,0,1,1,0,1,0,No
0,0,0,0,1,0,1,1,0,No
0,0,1,1,1,1,0,0,0,No
0,0,0,1,1,1,0,0,0,No
0,0,1,1,0,0,1,0,0,No
1,1,0,0,1,0,0,0,0,Yes
1,0,1,1,1,0,1,1,0,No
0,0,1,0,1,0,0,0,0,No
0,0,1,1,1,0,1,1,0,No
0,1,0,0,0,0,0,0,0,No
0,0,1,1,1,1,1,1,0,No
0,0,1,0,1,0,1,0,0,No
0,1,1,1,1,0,0,0,0,No
1,0,0,1,1,0,0,0,0,No
1,0,0,1,1,0,1,0,0,No
0,0,1,1,0,1,1,0,0,No
1,0,1,1,1,0,0,1,0,No
0,0,0,1,1,0,0,1,0,No
0,1,0,0,1,1,0,0,0,No
0,0,1,0,1,1,1,0,0,No
0,0,0,1,1,0,1,1,0,No
0,0,1,0,1,0,0,1,0,No
0,0,1,1,0,0,0,0,0,No
1,0,1,1,1,0,1,0,0,No
1,0,0,1,1,1,1,0,0,No
0,0,0,0,1,0,1,0,0,No
1,0,1,1,1,1,1,1,0,No
1,0,0,0,0,0,0,0,0,No
