,D1217,D1218,D1219,D1220,D1221,D1222,D1223,D1224,D1225,D1776,MoleculeElicitsResponse 0,MoleculeElicitsResponse 1
0,0,0,0,0,0,0,0,0,0,0,Yes,No
1,0,0,0,0,0,0,0,0,0,1,Yes,Yes
2,0,0,0,0,0,0,0,0,1,0,Yes,
3,0,0,0,0,0,0,0,1,0,0,No,Yes
4,0,0,0,0,0,0,0,1,1,0,No,No
5,0,0,0,0,0,0,1,0,0,0,No,No
6,0,0,0,0,0,0,1,0,1,0,No,
7,0,0,0,0,0,0,1,1,0,0,Yes,
8,0,0,0,0,0,1,0,0,0,0,Yes,Yes
9,0,0,0,0,0,1,0,0,1,0,No,
10,0,0,0,0,0,1,0,1,0,0,Yes,
11,0,0,0,0,0,1,1,0,0,0,Yes,
12,0,0,0,0,0,1,1,0,1,0,Yes,
13,0,0,0,0,0,1,1,1,0,0,Yes,No
14,0,0,0,0,1,0,0,0,0,0,Yes,No
15,0,0,0,0,1,0,0,0,1,0,No,No
16,0,0,0,0,1,0,0,1,0,0,No,Yes
17,0,0,0,0,1,0,1,0,0,0,No,No
18,0,0,0,0,1,0,1,0,0,1,No,Yes
19,0,0,0,0,1,0,1,0,1,0,Yes,
20,0,0,0,0,1,0,1,1,0,0,No,No
21,0,0,0,0,1,1,0,0,0,0,Yes,
22,0,0,0,0,1,1,0,0,0,1,Yes,
23,0,0,0,0,1,1,0,0,1,0,No,Yes
24,0,0,0,0,1,1,0,1,0,0,Yes,
25,0,0,0,0,1,1,1,0,0,0,Yes,
26,0,0,0,0,1,1,1,1,0,0,,Yes
27,0,0,0,1,0,0,0,0,0,0,Yes,Yes
28,0,0,0,1,0,0,0,0,1,0,Yes,
29,0,0,0,1,0,0,0,1,0,0,No,
30,0,0,0,1,0,0,0,1,0,1,,Yes
31,0,0,0,1,0,0,0,1,1,0,Yes,
32,0,0,0,1,0,0,1,0,0,0,No,Yes
33,0,0,0,1,0,0,1,0,1,0,,No
34,0,0,0,1,0,0,1,1,0,0,,Yes
35,0,0,0,1,0,0,1,1,1,0,,Yes
36,0,0,0,1,0,1,0,0,0,0,No,
37,0,0,0,1,0,1,0,0,1,0,Yes,
38,0,0,0,1,0,1,0,1,0,1,,Yes
39,0,0,0,1,0,1,0,1,1,0,,No
40,0,0,0,1,0,1,1,0,0,0,Yes,No
41,0,0,0,1,1,0,0,0,0,0,Yes,No
42,0,0,0,1,1,0,0,1,0,0,No,
43,0,0,0,1,1,0,1,0,0,0,Yes,Yes
44,0,0,0,1,1,0,1,0,0,1,No,
45,0,0,0,1,1,0,1,0,1,0,No,
46,0,0,0,1,1,0,1,1,0,1,No,
47,0,0,0,1,1,1,0,0,0,0,No,
48,0,0,0,1,1,1,0,1,0,0,No,
49,0,0,0,1,1,1,1,1,0,0,,Yes
50,0,0,1,0,0,0,0,0,0,0,Yes,No
51,0,0,1,0,0,0,0,0,1,0,Yes,
52,0,0,1,0,0,0,0,1,0,0,Yes,
53,0,0,1,0,0,0,1,0,0,0,No,Yes
54,0,0,1,0,0,0,1,0,1,0,Yes,
55,0,0,1,0,0,1,0,0,0,0,Yes,Yes
56,0,0,1,0,0,1,0,0,1,0,Yes,
57,0,0,1,0,0,1,0,1,0,0,Yes,
58,0,0,1,0,0,1,1,0,0,0,No,
59,0,0,1,0,1,0,0,0,0,0,Yes,No
60,0,0,1,0,1,0,0,0,1,0,Yes,Yes
61,0,0,1,0,1,0,0,0,1,1,No,
62,0,0,1,0,1,0,0,1,0,0,,Yes
63,0,0,1,0,1,0,1,0,0,0,Yes,No
64,0,0,1,0,1,0,1,0,1,0,Yes,
65,0,0,1,0,1,1,0,0,0,0,No,No
66,0,0,1,0,1,1,0,0,1,0,,Yes
67,0,0,1,0,1,1,1,0,0,0,Yes,
68,0,0,1,0,1,1,1,0,0,1,No,
69,0,0,1,0,1,1,1,0,1,0,Yes,
70,0,0,1,0,1,1,1,1,0,0,,No
71,0,0,1,1,0,0,0,0,0,0,Yes,Yes
72,0,0,1,1,0,0,0,0,1,0,Yes,Yes
73,0,0,1,1,0,0,0,1,0,1,No,
74,0,0,1,1,0,0,1,0,0,0,Yes,
75,0,0,1,1,0,1,0,0,0,0,Yes,No
76,0,0,1,1,0,1,0,0,1,0,Yes,Yes
77,0,0,1,1,0,1,1,0,0,0,No,
78,0,0,1,1,1,0,0,0,0,0,,Yes
79,0,0,1,1,1,0,1,1,0,0,Yes,
80,0,0,1,1,1,1,0,0,0,0,Yes,No
81,0,1,0,0,0,0,0,0,0,0,Yes,Yes
82,0,1,0,0,0,0,0,0,0,1,Yes,
83,0,1,0,0,0,0,0,0,1,0,No,No
84,0,1,0,0,0,0,1,0,0,0,Yes,
85,0,1,0,0,0,0,1,0,1,0,Yes,
86,0,1,0,0,0,1,0,0,0,0,No,
87,0,1,0,0,0,1,0,1,0,0,,No
88,0,1,0,0,0,1,1,0,0,0,Yes,
89,0,1,0,0,0,1,1,0,1,0,No,
90,0,1,0,0,0,1,1,1,0,0,,Yes
91,0,1,0,0,1,0,0,0,0,0,No,
92,0,1,0,0,1,0,0,0,1,0,No,No
93,0,1,0,0,1,0,0,1,0,1,,No
94,0,1,0,0,1,0,1,0,0,0,No,
95,0,1,0,0,1,0,1,0,0,1,Yes,
96,0,1,0,0,1,0,1,0,1,0,Yes,Yes
97,0,1,0,0,1,0,1,1,0,0,No,
98,0,1,0,0,1,1,0,0,0,0,Yes,No
99,0,1,0,0,1,1,0,1,0,0,Yes,
100,0,1,0,1,0,0,0,0,0,0,Yes,Yes
101,0,1,0,1,0,0,0,0,1,0,Yes,
102,0,1,0,1,0,0,0,1,0,0,No,
103,0,1,0,1,0,1,0,0,0,0,No,Yes
104,0,1,0,1,1,0,0,0,0,0,No,Yes
105,0,1,0,1,1,0,0,0,1,0,No,
106,0,1,0,1,1,0,1,0,0,0,No,Yes
107,0,1,0,1,1,0,1,0,1,0,Yes,
108,0,1,1,0,0,0,0,0,0,0,Yes,No
109,0,1,1,0,0,0,0,0,1,0,Yes,
110,0,1,1,0,0,0,0,1,0,0,No,
111,0,1,1,0,0,0,1,0,0,0,Yes,
112,0,1,1,0,0,1,0,0,0,0,No,No
113,0,1,1,0,0,1,0,0,0,1,No,
114,0,1,1,0,0,1,0,0,1,0,,Yes
115,0,1,1,0,0,1,1,0,0,0,Yes,
116,0,1,1,0,1,0,0,0,0,0,No,
117,0,1,1,0,1,0,0,0,1,0,Yes,Yes
118,0,1,1,0,1,0,0,1,0,0,Yes,
119,0,1,1,0,1,0,1,0,0,0,Yes,
120,0,1,1,0,1,0,1,1,0,0,No,
121,0,1,1,0,1,1,0,0,0,0,No,Yes
122,0,1,1,0,1,1,1,0,0,0,Yes,
123,0,1,1,1,0,0,0,0,0,0,No,
124,0,1,1,1,0,0,1,0,0,0,Yes,
125,0,1,1,1,0,1,0,0,0,0,Yes,
126,0,1,1,1,0,1,0,1,0,0,Yes,
127,0,1,1,1,1,0,1,0,0,0,,Yes
128,0,1,1,1,1,1,1,0,0,0,,No
129,1,0,0,0,0,0,0,0,0,0,No,No
130,1,0,0,0,0,0,0,0,1,0,No,
131,1,0,0,0,0,0,0,1,0,0,No,Yes
132,1,0,0,0,0,0,1,0,0,0,No,
133,1,0,0,0,0,0,1,0,1,0,No,
134,1,0,0,0,0,0,1,1,0,0,Yes,
135,1,0,0,0,0,1,0,0,0,0,No,
136,1,0,0,0,0,1,0,0,0,1,No,
137,1,0,0,0,0,1,0,1,0,1,,No
138,1,0,0,0,0,1,1,0,0,0,,No
139,1,0,0,0,1,0,0,0,0,0,Yes,No
140,1,0,0,0,1,0,0,0,0,1,Yes,Yes
141,1,0,0,0,1,0,0,0,1,1,Yes,
142,1,0,0,0,1,0,0,1,0,0,No,Yes
143,1,0,0,0,1,0,1,0,0,0,No,
144,1,0,0,0,1,0,1,0,0,1,Yes,
145,1,0,0,0,1,0,1,0,1,0,No,
146,1,0,0,0,1,1,0,0,0,0,Yes,
147,1,0,0,0,1,1,0,0,0,1,Yes,
148,1,0,0,0,1,1,0,0,1,0,Yes,
149,1,0,0,0,1,1,0,1,0,0,Yes,
150,1,0,0,0,1,1,1,0,1,0,No,
151,1,0,0,1,0,0,0,0,0,0,Yes,Yes
152,1,0,0,1,0,0,0,0,1,1,No,
153,1,0,0,1,0,0,0,1,1,0,No,
154,1,0,0,1,0,0,1,1,0,0,No,
155,1,0,0,1,1,0,0,0,0,0,No,
156,1,0,0,1,1,1,0,1,0,0,Yes,
157,1,0,1,0,0,0,0,0,0,0,Yes,
158,1,0,1,0,0,0,0,0,1,0,Yes,No
159,1,0,1,0,0,0,0,1,0,0,,No
160,1,0,1,0,0,1,0,0,0,0,No,
161,1,0,1,0,0,1,0,0,1,0,Yes,
162,1,0,1,0,0,1,1,0,0,0,Yes,
163,1,0,1,0,1,0,0,0,0,0,Yes,
164,1,0,1,0,1,0,0,0,1,0,No,
165,1,0,1,0,1,0,0,1,1,0,,Yes
166,1,0,1,0,1,0,1,0,0,0,Yes,
167,1,0,1,0,1,1,0,1,0,0,No,
168,1,0,1,0,1,1,0,1,1,0,Yes,
169,1,0,1,0,1,1,1,1,0,0,,Yes
170,1,0,1,1,0,0,0,0,0,0,Yes,Yes
171,1,0,1,1,0,1,0,0,0,0,Yes,
172,1,0,1,1,0,1,0,1,0,0,,No
173,1,0,1,1,1,0,0,0,0,0,,Yes
174,1,0,1,1,1,0,0,0,1,0,,Yes
175,1,0,1,1,1,0,1,0,0,0,,Yes
176,1,0,1,1,1,1,0,0,0,0,Yes,
177,1,0,1,1,1,1,0,1,0,0,No,
178,1,1,0,0,0,0,0,0,0,0,No,No
179,1,1,0,0,0,0,1,0,0,0,No,
180,1,1,0,0,0,0,1,0,1,0,No,
181,1,1,0,0,0,1,0,0,0,0,Yes,No
182,1,1,0,0,0,1,0,1,0,0,No,
183,1,1,0,0,0,1,1,0,0,0,No,
184,1,1,0,0,1,0,0,0,0,0,No,
185,1,1,0,0,1,0,1,0,1,1,No,
186,1,1,0,0,1,1,1,0,0,0,No,
187,1,1,0,1,0,0,0,0,0,0,No,
188,1,1,0,1,1,0,0,0,0,0,,No
189,1,1,0,1,1,0,1,0,0,0,,Yes
190,1,1,0,1,1,0,1,0,0,1,Yes,
191,1,1,1,0,0,0,0,0,0,0,,Yes
192,1,1,1,0,0,0,0,1,0,0,No,
193,1,1,1,0,0,0,0,1,1,0,,No
194,1,1,1,0,0,1,0,1,0,0,No,
195,1,1,1,0,0,1,0,1,1,0,,Yes
196,1,1,1,0,1,0,0,1,1,0,,No
197,1,1,1,0,1,1,0,1,0,0,No,
198,1,1,1,1,0,0,0,0,0,0,Yes,
199,1,1,1,1,1,0,1,0,1,0,Yes,
200,1,1,1,1,1,1,0,0,0,0,Yes,
