,area_code,voice_mail_plan,total_intl_calls,number_customer_service_calls,CustomerChurned 0,CustomerChurned 1
0,408.0,0,0,0,No,
1,408.0,0,0,2,No,
2,408.0,0,0,3,No,
3,408.0,0,0,4,No,
4,408.0,0,1,0,No,
5,408.0,0,1,1,No,Yes
6,408.0,0,1,2,No,
7,408.0,0,1,3,No,Yes
8,408.0,0,1,4,No,
9,408.0,0,1,5,Yes,
10,408.0,0,1,6,Yes,
11,408.0,0,1,7,,Yes
12,408.0,0,2,0,No,Yes
13,408.0,0,2,1,No,Yes
14,408.0,0,2,2,No,Yes
15,408.0,0,2,3,No,
16,408.0,0,2,4,No,Yes
17,408.0,0,2,5,Yes,Yes
18,408.0,0,2,6,Yes,
19,408.0,0,2,9,Yes,
20,408.0,0,3,0,No,Yes
21,408.0,0,3,1,No,No
22,408.0,0,3,2,No,No
23,408.0,0,3,3,Yes,No
24,408.0,0,3,4,No,No
25,408.0,0,3,5,No,
26,408.0,0,3,7,Yes,
27,408.0,0,4,0,No,No
28,408.0,0,4,1,No,No
29,408.0,0,4,2,No,No
30,408.0,0,4,3,No,No
31,408.0,0,4,4,Yes,Yes
32,408.0,0,4,5,No,
33,408.0,0,4,6,No,
34,408.0,0,4,7,Yes,
35,408.0,0,5,0,No,No
36,408.0,0,5,1,No,Yes
37,408.0,0,5,2,No,No
38,408.0,0,5,3,No,No
39,408.0,0,5,4,Yes,No
40,408.0,0,5,5,Yes,
41,408.0,0,6,0,No,
42,408.0,0,6,1,No,Yes
43,408.0,0,6,2,Yes,No
44,408.0,0,6,3,No,No
45,408.0,0,6,4,No,
46,408.0,0,6,5,Yes,
47,408.0,0,7,0,No,
48,408.0,0,7,1,No,No
49,408.0,0,7,2,No,Yes
50,408.0,0,7,3,No,
51,408.0,0,7,4,Yes,
52,408.0,0,8,0,No,No
53,408.0,0,8,1,Yes,
54,408.0,0,8,2,No,No
55,408.0,0,8,3,No,
56,408.0,0,8,4,No,
57,408.0,0,8,8,Yes,
58,408.0,0,9,0,No,
59,408.0,0,9,1,No,
60,408.0,0,9,2,No,No
61,408.0,0,9,3,No,
62,408.0,0,9,5,Yes,
63,408.0,0,10,0,No,
64,408.0,0,10,1,No,
65,408.0,0,10,2,No,
66,408.0,0,10,3,No,
67,408.0,0,11,1,No,
68,408.0,0,11,2,No,Yes
69,408.0,0,11,5,Yes,
70,408.0,0,12,1,No,
71,408.0,0,13,1,No,
72,408.0,0,14,1,No,
73,408.0,0,15,1,No,
74,408.0,0,16,3,No,
75,408.0,0,18,1,No,
76,408.0,0,18,2,Yes,
77,408.0,0,19,3,No,
78,408.0,1,0,1,No,
79,408.0,1,0,2,No,
80,408.0,1,1,1,No,
81,408.0,1,1,2,No,
82,408.0,1,1,3,No,
83,408.0,1,2,0,No,Yes
84,408.0,1,2,1,No,
85,408.0,1,2,2,No,Yes
86,408.0,1,2,3,No,Yes
87,408.0,1,2,4,Yes,
88,408.0,1,2,5,Yes,
89,408.0,1,3,0,No,No
90,408.0,1,3,1,No,No
91,408.0,1,3,2,No,No
92,408.0,1,3,3,No,Yes
