dataset_id,dataset_name,original_number_features,final_number_features,original_number_rows,final_number_rows,original_density,final_density,binary_feature,initial_XGB_r2,initial_XGB_accuracy,initial_XGB_normalized_accuracy,final_XGB_r2,final_XGB_accuracy,final_XGB_normalized_accuracy,initial_NN_TORCH_r2,initial_NN_TORCH_accuracy,initial_NN_TORCH_normalized_accuracy,final_NN_TORCH_r2,final_NN_TORCH_accuracy,final_NN_TORCH_normalized_accuracy,final_improvement_xgb,final_improvement_accuracy,final_improvement_r2
46904,airfoil_self_noise,5,4,1503,1503,0.0010519022423784328,0.11044973544973545,,0.9530254509321361,,,0.9450376662803245,,,0.9641781264769623,,,0.9624126053501296,,,-0.8381501925262229,,-1.8385446093585913
46905,Amazon_employee_access,9,1,32769,67,5.4331464888837344e-21,1.0,,,0.9428338927881192,0.8856677855762385,,,,,0.9493439121147391,0.8986878242294782,,,,,,
46906,anneal,38,13,886,8,6.763894527119904e-16,0.125,bl,,0.9888888888888889,0.9861111111111112,,,,,0.9925925925925926,0.9907407407407406,,,,,,
46907,Another-Dataset-on-used-Fiat-500,7,3,1515,34,5.646737052785582e-10,0.3541666666666667,,0.8334463834762573,,,0.2506847381591797,,,0.8441888689994812,,,-0.05998373031616211,,,-69.92191181949966,,123.92795459214341
46908,APSFailure,170,3,76000,52,0.0,0.8666666666666667,ch_000,,0.9942543859649123,0.9885087719298247,,0.8125,0.625,,0.993421052631579,0.986842105263158,,0.8125,0.625,-36.773449285650905,0.0,
46910,bank-marketing,13,8,44905,2533,5.349772965830006e-12,0.18323206018518517,default,,0.8911825420230021,0.7823650840460041,,0.8526315789473684,0.7052631578947368,,0.891108817457977,0.782217634915954,,0.8644736842105263,0.7289473684210526,-9.85498045906323,-3.358208955223876,
46911,Bank_Customer_Churn,10,6,10000,723,4.6085769342056656e-12,0.6846590909090909,gender,,0.8516666666666667,0.7033333333333334,,0.8294930875576036,0.6589861751152073,,0.853,0.706,,0.8064516129032258,0.6129032258064515,-6.3052831589752705,6.993006993006998,
46912,Bioresponse,1776,11,3751,255,0.0,0.12451171875,D1216,,0.7975133214920072,0.5950266429840143,,0.6233766233766234,0.24675324675324672,,0.7717584369449378,0.5435168738898757,,0.6493506493506493,0.2987012987012987,-58.53072300833496,-21.052631578947377,
46913,blood-transfusion-service-center,4,2,502,188,0.0001906424193814223,0.18377321603128055,,,0.76,0.52,,,,,0.7822222222222223,0.5644444444444445,,,,,,
46915,churn,19,5,5000,625,2.774980106523841e-36,0.24801587301587302,international_plan,,0.9566666666666667,0.9133333333333333,,0.7287234042553191,0.45744680851063824,,0.914,0.8280000000000001,,0.7393617021276596,0.47872340425531923,-49.91458300978414,-4.651162790697707,
46916,coil2000_insurance_policies,85,7,8261,29,4.188386241439141e-67,0.10069444444444445,contributionBicyclePolicies,,0.9419748897183576,0.8839497794367153,,,,,0.9412962334577536,0.8825924669155072,,,,,,
46917,concrete_compressive_strength,8,2,996,452,3.0385513323393077e-15,0.20829493087557605,,0.9186625719845936,,,,,,0.9253751045752099,,,,,,,,
46918,credit-g,20,7,1000,164,1.4033527721394342e-13,0.18981481481481483,people_liable,,0.76,0.52,,0.6,0.19999999999999996,,0.78,0.56,,0.6,0.19999999999999996,-61.538461538461554,0.0,
46919,credit_card_clients_default,23,4,29944,187,4.9283839727975495e-57,0.3339285714285714,SEX,,0.8214444444444444,0.6428888888888888,,0.7192982456140351,0.4385964912280702,,0.8201111111111111,0.6402222222222222,,0.7368421052631579,0.4736842105263157,-31.777248167082057,-7.999999999999973,
46920,customer_satisfaction_in_airline,21,8,129880,8960,1.8612414495883584e-18,0.11522633744855967,CustomerType,,0.9588594600143723,0.9177189200287446,,0.9151785714285714,0.8303571428571428,,0.9567036238579202,0.9134072477158404,,0.9051339285714286,0.8102678571428572,-9.519448195408833,2.4193548387096624,
46921,diabetes,8,2,768,283,1.1174982314123598e-13,0.3541927409261577,,,0.7402597402597403,0.48051948051948057,,,,,0.7359307359307359,0.47186147186147176,,,,,,
46922,Diabetes130US,47,9,71518,7,7.57843832073672e-37,0.109375,tolbutamide,,0.9107941834451901,0.8215883668903803,,,,,0.9107941834451901,0.8215883668903803,,,,,,
46923,diamonds,9,3,53595,276,2.616386759811203e-13,0.9857142857142858,,0.981843113899231,,,0.046563148498535156,,,0.9765276908874512,,,-0.011118888854980469,,,-95.25757752543407,,123.87916026625705
46924,E-CommereShippingData,10,7,10999,4761,9.03257841376853e-09,0.22041666666666668,Gender,,0.6548484848484849,0.3096969696969698,,0.5864240727781665,0.1728481455563331,,0.6587878787878788,0.3175757575757576,,0.5955213435969209,0.19104268719384176,-44.187976483767216,-10.526315789473637,
