frequency,attack-angle,chord-length,free-stream-velocity,scaled-sound-pressure
8000,1.5,0.3048,71.3,115.372
4000,0.0,0.0254,55.5,133.223
2000,12.3,0.1016,55.5,118.564
1600,5.3,0.2286,71.3,130.46
12500,0.0,0.0508,71.3,125.22
2000,9.5,0.0254,39.6,131.274
3150,12.3,0.1016,39.6,113.055
4000,0.0,0.0254,71.3,138.557
1600,5.4,0.1524,71.3,133.241
1000,5.4,0.1524,39.6,130.507
800,22.2,0.0254,71.3,123.227
1250,4.0,0.2286,71.3,131.718
250,19.7,0.0508,71.3,119.115
1250,22.2,0.0254,39.6,126.446
6300,3.0,0.3048,71.3,116.134
250,9.9,0.1524,55.5,133.235
800,4.0,0.3048,39.6,130.723
16000,4.0,0.2286,71.3,112.768
400,7.3,0.2286,39.6,132.039
315,19.7,0.0508,71.3,121.235
1250,4.0,0.2286,31.7,128.119
2500,0.0,0.0508,55.5,133.956
10000,2.7,0.1524,71.3,116.724
315,11.2,0.0508,71.3,128.381
3150,5.3,0.2286,39.6,118.441
1000,17.4,0.0254,55.5,126.001
1600,0.0,0.1524,71.3,129.667
1000,8.9,0.1016,39.6,129.58
2000,0.0,0.3048,55.5,126.616
2500,0.0,0.3048,55.5,124.106
1600,12.3,0.1016,31.7,114.477
4000,2.0,0.2286,39.6,120.227
315,7.3,0.2286,39.6,132.149
1250,5.4,0.1524,39.6,127.117
8000,4.2,0.0508,39.6,120.397
3150,8.4,0.0508,71.3,131.966
8000,0.0,0.1016,55.5,124.45
1250,0.0,0.2286,71.3,128.144
2000,12.3,0.1016,71.3,122.218
250,9.5,0.0254,39.6,116.924
5000,4.0,0.2286,39.6,117.649
6300,5.4,0.1524,31.7,115.591
3150,0.0,0.2286,55.5,125.16
3150,7.3,0.2286,31.7,113.229
2500,12.6,0.1524,71.3,115.234
2000,15.4,0.0508,71.3,129.285
3150,0.0,0.0254,71.3,137.007
400,15.6,0.1016,71.3,134.058
1250,0.0,0.2286,55.5,127.91
1600,2.0,0.2286,55.5,126.752
8000,22.2,0.0254,71.3,121.657
250,7.3,0.2286,39.6,131.889
800,7.3,0.2286,55.5,128.444
12500,0.0,0.3048,39.6,109.619
2000,19.7,0.0508,71.3,120.055
2500,19.7,0.0508,39.6,116.184
5000,22.2,0.0254,39.6,118.816
3150,6.7,0.1016,71.3,124.458
3150,4.8,0.0254,71.3,133.378
1000,4.8,0.0254,31.7,125.348
800,0.0,0.1524,31.7,129.117
4000,15.4,0.0508,71.3,122.675
200,8.9,0.1016,39.6,133.42
2000,3.0,0.3048,71.3,125.524
8000,2.7,0.1524,39.6,116.659
500,22.2,0.0254,39.6,129.776
3150,17.4,0.0254,39.6,123.564
6300,0.0,0.1524,39.6,121.313
16000,0.0,0.0254,31.7,125.627
2500,0.0,0.0508,71.3,131.31
6300,0.0,0.2286,71.3,122.044
1600,2.0,0.2286,71.3,127.796
800,4.0,0.2286,31.7,130.869
2500,2.0,0.2286,71.3,127.006
630,6.7,0.1016,39.6,133.355
10000,0.0,0.1016,31.7,115.893
630,9.9,0.1524,31.7,126.049
1600,6.7,0.1016,31.7,124.346
315,5.4,0.1524,39.6,125.347
16000,0.0,0.1524,55.5,112.803
3150,1.5,0.3048,39.6,119.111
400,12.3,0.1016,71.3,139.428
200,15.6,0.1016,71.3,130.898
5000,7.2,0.1524,39.6,113.288
1250,0.0,0.0508,55.5,127.076
12500,0.0,0.1524,71.3,117.087
2000,17.4,0.0254,31.7,124.356
5000,4.8,0.0254,71.3,135.468
315,17.4,0.0254,71.3,115.846
6300,0.0,0.1016,31.7,124.253
800,2.0,0.2286,31.7,130.307
4000,0.0,0.0508,39.6,135.308
1250,2.7,0.1524,39.6,130.829
1600,3.0,0.3048,39.6,122.782
4000,12.6,0.1524,71.3,108.034
2000,11.2,0.0508,39.6,124.42
1600,17.4,0.0254,39.6,127.614
2000,19.7,0.0508,39.6,117.724
2500,9.9,0.1524,71.3,119.639
10000,0.0,0.1524,55.5,119.253
2500,17.4,0.0254,31.7,124.166
6300,0.0,0.0508,55.5,132.796
2000,12.6,0.1524,39.6,109.52
250,12.3,0.1016,31.7,125.857
500,12.7,0.0254,71.3,126.898
2500,15.4,0.0508,55.5,125.63
315,4.0,0.3048,39.6,126.843
5000,4.0,0.2286,71.3,121.118
16000,4.8,0.0254,55.5,124.394
5000,2.0,0.2286,39.6,118.827
500,2.0,0.2286,71.3,126.486
630,3.3,0.1016,39.6,127.251
800,9.5,0.0254,31.7,130.746
500,4.0,0.3048,71.3,130.715
2000,22.2,0.0254,71.3,127.197
2500,11.2,0.0508,71.3,130.541
10000,3.0,0.3048,55.5,112.169
6300,17.4,0.0254,55.5,114.861
3150,9.5,0.0254,55.5,133.252
4000,5.3,0.2286,39.6,115.801
5000,0.0,0.0508,31.7,133.23
6300,1.5,0.3048,39.6,114.751
