D1216,D1217,D1218,D1219,D1220,D1221,D1222,D1223,D1224,D1225,D1776,MoleculeElicitsResponse
1,0,0,1,0,0,0,1,0,0,0,Yes
0,0,0,0,0,0,0,0,0,0,0,Yes
1,0,0,0,0,0,1,0,0,0,0,Yes
0,0,0,0,0,1,0,0,0,0,0,Yes
0,0,0,1,0,1,1,0,0,0,0,No
0,0,0,1,0,1,0,1,0,0,0,Yes
0,0,1,0,0,0,1,0,0,0,0,No
0,0,1,1,0,1,1,0,0,0,0,No
0,0,0,0,0,1,1,0,0,0,0,Yes
0,0,1,0,0,1,0,1,0,0,1,Yes
0,0,1,0,0,0,0,0,0,0,0,Yes
0,1,1,1,0,0,0,0,1,0,0,No
0,0,0,1,0,0,0,0,0,0,0,Yes
1,0,0,1,0,1,1,0,0,1,0,Yes
0,0,0,0,0,1,0,1,0,0,0,No
0,0,0,1,0,1,0,0,0,0,0,Yes
0,1,0,0,1,0,0,0,0,0,0,Yes
0,0,0,0,0,0,0,1,0,1,0,No
0,0,0,1,0,0,0,1,0,1,0,Yes
1,0,0,0,0,1,1,1,1,0,0,Yes
0,0,0,0,0,1,0,1,0,1,0,Yes
0,1,0,0,0,1,0,0,0,0,0,Yes
0,0,0,0,0,0,0,0,0,1,0,Yes
1,0,1,1,0,0,1,0,0,0,0,No
0,1,0,0,0,1,1,0,1,0,0,Yes
0,0,0,0,1,1,0,0,0,0,0,Yes
0,1,0,0,0,1,1,0,0,1,0,Yes
0,0,0,0,1,0,0,1,0,0,0,No
1,0,1,0,0,0,0,0,0,0,0,Yes
0,1,0,0,1,1,1,0,1,0,0,Yes
0,0,0,1,0,1,0,0,0,1,0,Yes
0,1,1,1,1,0,0,0,0,0,0,Yes
0,1,0,1,1,0,0,0,0,0,0,Yes
0,0,0,1,0,1,1,1,0,0,0,Yes
0,0,1,0,0,1,1,0,0,0,0,Yes
0,1,0,1,0,0,1,1,0,0,0,Yes
0,0,0,1,1,0,0,0,0,1,0,Yes
0,0,0,0,1,0,1,0,0,1,0,Yes
0,0,0,1,0,1,1,1,0,0,1,No
0,0,1,0,0,1,0,1,0,0,0,No
0,0,0,1,1,0,1,0,0,0,0,Yes
0,0,1,0,0,1,0,1,1,0,0,No
0,1,0,0,0,1,0,1,0,0,0,No
0,1,0,0,0,0,0,0,0,1,0,No
1,0,0,1,0,1,0,0,0,1,0,Yes
0,0,1,1,0,0,0,0,0,0,0,Yes
1,0,0,0,0,1,0,0,0,0,0,No
0,1,0,1,0,0,0,0,0,0,0,Yes
1,0,1,1,1,1,0,1,0,0,0,Yes
0,0,0,0,0,0,1,0,0,0,0,Yes
0,0,0,0,0,0,0,1,0,0,0,No
0,0,1,1,0,1,0,0,0,1,0,Yes
1,0,0,1,0,0,1,0,0,0,0,Yes
0,0,0,1,1,0,0,0,0,0,0,Yes
1,1,1,1,0,0,0,0,1,1,0,No
1,0,0,0,1,1,0,1,0,0,0,Yes
0,0,1,0,0,1,0,0,0,0,0,No
0,0,1,1,0,1,0,1,0,0,0,Yes
0,1,0,1,0,0,1,0,0,0,0,No
0,1,0,0,0,0,1,0,0,0,1,No
1,0,0,0,0,0,0,0,0,0,0,No
1,0,0,0,0,1,0,1,0,0,0,No
1,0,0,0,0,1,1,0,0,1,0,Yes
0,0,0,0,0,1,1,1,0,0,0,Yes
1,1,0,0,0,1,0,0,1,0,0,Yes
0,0,0,1,1,0,1,1,0,0,0,No
0,1,0,0,0,1,0,0,0,0,1,Yes
0,0,0,0,1,0,0,0,0,0,0,Yes
0,0,0,0,1,0,1,0,0,0,0,No
0,0,1,0,1,1,0,0,0,1,0,No
0,0,0,0,0,1,0,1,0,0,1,No
0,0,0,1,0,0,0,1,0,0,0,No
0,1,1,0,1,1,0,1,0,0,1,Yes
0,0,0,0,0,1,0,0,0,1,0,No
0,0,1,0,0,1,0,0,0,1,0,No
0,1,1,1,0,1,1,0,1,0,0,No
0,0,0,0,0,1,0,0,1,0,0,No
1,0,0,0,1,0,0,1,0,0,0,Yes
0,1,1,1,1,1,1,0,0,0,0,Yes
0,1,0,1,0,1,0,0,0,0,0,Yes
1,0,0,0,1,0,0,1,1,0,0,Yes
1,0,0,0,1,1,0,0,0,0,0,No
0,0,0,1,1,1,1,0,0,0,0,Yes
0,1,0,0,0,1,0,1,0,1,0,No
1,0,1,0,0,0,0,0,0,1,0,No
0,1,0,1,0,1,0,1,0,0,0,Yes
1,0,0,1,1,1,1,0,0,0,0,No
1,0,0,0,1,0,0,0,1,0,1,Yes
1,0,0,1,1,0,0,0,0,0,0,Yes
1,0,1,1,0,1,0,0,0,1,0,Yes
1,1,1,1,0,0,0,0,0,0,0,Yes
0,1,0,1,0,0,0,0,0,1,0,Yes
0,1,0,0,1,0,0,0,0,1,1,No
1,0,0,0,1,0,0,0,0,0,0,Yes
0,1,0,0,0,1,0,0,0,1,1,Yes
0,0,0,0,1,1,1,0,0,0,0,No
1,1,0,0,1,0,0,0,0,0,0,Yes
0,1,1,0,0,1,0,0,0,0,0,No
0,0,1,0,0,1,0,1,0,1,0,Yes
1,0,0,1,1,0,1,0,0,0,0,No
0,0,0,1,0,1,0,0,0,1,1,No
0,0,0,0,0,1,1,0,0,1,0,No
0,0,0,0,0,0,0,1,1,0,0,Yes
1,0,0,1,0,1,0,0,0,0,0,No
1,0,1,0,1,1,0,0,0,0,0,Yes
0,0,0,0,0,0,1,1,0,0,0,Yes
0,0,0,1,0,1,0,1,0,1,0,Yes
1,0,0,0,0,0,0,1,0,0,0,No
1,0,0,0,0,0,1,1,1,0,0,No
0,0,0,0,1,1,0,1,0,0,0,Yes
1,0,0,1,0,1,1,1,1,0,0,No
0,0,1,0,0,0,0,1,0,1,0,Yes
1,1,0,1,0,0,0,0,0,1,0,No
0,0,0,1,0,0,0,0,1,0,0,Yes
0,0,1,0,0,0,1,1,0,0,0,Yes
0,0,0,0,1,1,0,1,0,1,0,No
1,0,0,0,0,0,0,0,1,0,0,Yes
0,0,0,1,0,0,1,0,0,1,0,Yes
0,0,0,0,1,1,0,1,0,0,1,No
0,1,0,0,0,0,0,1,0,0,0,No
1,0,0,1,0,1,0,0,1,0,0,Yes
0,0,0,1,1,0,0,1,0,0,0,Yes
1,0,1,1,0,0,1,0,0,1,0,Yes
1,1,0,1,1,0,1,0,1,0,0,No
0,0,1,1,0,0,0,0,0,1,0,Yes
0,1,0,0,0,0,0,1,1,0,0,Yes
0,0,0,1,0,0,1,0,0,0,0,Yes
1,0,1,0,0,0,1,0,1,0,0,No
0,0,1,1,0,1,0,1,1,0,0,No
0,1,0,1,1,1,1,0,1,0,0,No
1,1,0,1,1,1,0,1,0,0,0,Yes
0,0,1,1,0,1,0,0,0,0,0,No
1,0,0,1,0,0,0,0,0,0,0,No
0,0,0,1,0,0,1,1,0,0,0,No
1,0,1,1,0,0,0,0,0,0,0,No
1,0,0,1,0,1,1,0,0,0,0,No
0,0,0,1,0,0,0,0,0,1,0,Yes
0,0,0,0,0,0,1,0,0,1,0,No
0,1,0,0,0,1,0,1,0,0,1,Yes
0,0,1,0,1,0,0,0,0,1,0,Yes
0,0,0,0,0,0,1,1,1,0,0,Yes
0,0,1,1,1,0,1,0,1,0,0,Yes
0,1,1,0,0,0,0,1,0,0,0,No
0,1,1,0,0,0,1,0,1,0,0,No
1,0,1,0,0,1,0,0,1,0,1,No
0,0,1,1,0,1,0,0,1,0,0,Yes
1,1,1,0,0,0,0,0,0,0,0,No
0,0,1,1,0,0,1,0,0,0,0,No
0,1,0,0,0,0,0,0,1,0,0,No
1,0,0,0,1,0,1,1,0,0,0,No
1,0,0,0,0,1,0,0,0,1,0,No
0,1,0,1,0,1,0,0,0,1,0,No
0,0,0,0,1,0,0,0,1,0,0,No
0,0,0,0,1,0,0,0,0,1,0,Yes
0,1,0,0,0,1,0,0,1,0,0,No
1,0,0,0,0,1,0,0,1,0,0,Yes
0,1,0,1,1,1,1,0,0,0,0,Yes
0,1,0,0,0,1,1,1,0,1,0,No
0,0,0,0,0,1,1,0,1,0,0,Yes
0,1,0,1,0,1,1,0,1,1,0,Yes
1,1,1,0,0,0,1,0,0,0,0,No
1,1,1,0,1,1,0,0,0,0,0,No
0,0,1,0,0,0,0,0,0,0,1,Yes
1,0,0,1,0,1,0,1,0,0,0,No
0,1,0,1,1,0,1,0,0,0,0,Yes
0,1,1,0,0,0,0,1,0,1,0,No
0,0,0,1,0,0,1,0,1,0,0,Yes
1,1,0,0,0,0,0,0,1,0,0,Yes
1,0,0,0,1,1,1,1,1,0,0,Yes
1,0,0,0,0,0,0,0,1,1,0,No
0,0,1,0,1,1,0,1,0,0,0,No
1,0,0,1,1,1,0,0,0,0,0,Yes
1,0,0,0,0,0,0,0,0,0,1,Yes
1,1,0,0,0,0,0,0,0,0,0,No
0,0,1,1,0,0,1,1,0,0,0,Yes
1,0,0,0,0,1,0,1,1,0,0,No
0,0,1,0,1,1,0,0,0,0,0,No
0,0,1,0,1,0,1,0,0,0,0,No
1,0,1,0,1,0,0,0,0,0,0,Yes
1,1,0,1,1,0,0,0,0,0,0,Yes
0,0,0,0,1,1,0,1,1,0,1,No
1,0,1,0,0,0,1,1,1,0,0,Yes
1,0,1,0,0,1,1,0,0,0,0,No
1,0,1,0,0,1,0,0,0,1,0,No
1,0,1,1,1,1,1,1,0,0,0,No
0,0,1,0,0,0,0,0,0,1,0,No
1,0,1,1,0,1,1,0,0,0,0,Yes
0,0,1,0,0,0,1,1,0,1,0,No
1,0,0,0,1,0,1,0,1,1,0,No
0,1,1,1,0,0,1,0,1,0,0,No
0,1,0,1,0,0,1,0,0,1,0,Yes
0,0,0,0,0,0,0,0,1,0,0,No
0,1,1,0,0,0,1,1,0,0,0,No
0,1,0,0,0,1,1,0,0,0,1,Yes
0,0,0,0,1,0,0,0,1,1,0,Yes
1,1,0,1,1,1,0,0,0,0,0,Yes
0,1,0,0,0,0,0,0,0,0,0,No
0,1,1,0,0,0,1,0,0,0,0,Yes
0,1,1,0,0,0,0,0,0,0,0,No
0,0,1,1,0,1,1,1,0,0,0,Yes
0,1,0,0,1,0,0,1,1,0,0,No
0,0,1,0,0,0,0,1,0,0,0,Yes
0,0,0,0,0,1,1,0,0,0,1,Yes
0,0,1,0,1,0,0,0,0,0,0,Yes
0,0,0,1,1,0,1,0,0,1,0,Yes
0,0,1,0,1,0,0,0,1,0,0,No
0,1,0,0,0,1,1,0,0,0,0,Yes
1,1,0,1,0,0,0,0,1,0,0,No
1,0,1,0,1,0,1,0,0,0,0,Yes
1,0,1,0,1,1,0,1,0,0,0,Yes
1,0,1,0,0,1,0,1,0,1,0,Yes
0,0,1,1,1,0,0,1,0,0,0,Yes
0,0,0,1,0,1,1,1,0,1,0,Yes
0,0,1,1,0,0,0,1,0,0,0,Yes
0,0,1,0,0,1,1,0,1,0,0,Yes
0,0,0,1,1,0,0,0,1,0,1,No
0,0,0,0,0,0,1,1,0,1,0,Yes
1,1,0,1,1,1,0,0,0,1,0,Yes
0,1,0,0,1,0,0,0,1,1,0,No
1,1,1,1,0,0,1,0,1,1,0,Yes
0,0,0,0,1,1,0,0,1,0,0,No
1,0,0,0,1,0,0,1,0,1,0,No
0,0,0,0,1,1,1,0,1,0,0,No
1,1,0,1,0,1,1,1,1,0,0,Yes
0,0,0,0,1,0,1,1,0,0,0,Yes
0,0,1,0,1,1,0,1,0,1,0,Yes
0,0,0,0,0,0,0,0,0,0,1,Yes
0,0,0,0,0,0,1,0,1,0,0,Yes
0,1,1,1,1,1,0,1,0,1,0,Yes
1,0,0,0,0,1,0,1,0,0,1,Yes
1,1,0,1,0,1,0,0,1,1,0,Yes
0,1,0,0,1,1,0,0,0,0,0,No
1,1,0,0,0,1,0,0,0,0,1,Yes
0,1,0,0,0,0,1,0,0,0,0,No
0,1,1,0,0,1,1,1,0,0,0,No
1,0,0,1,1,0,0,0,0,1,0,Yes
0,0,1,1,1,0,0,0,0,0,0,No
0,0,1,1,0,0,1,0,0,0,1,No
1,1,0,0,0,1,0,0,0,0,0,No
1,0,0,0,1,0,1,0,1,0,1,Yes
1,0,0,1,1,0,1,0,0,1,0,Yes
0,0,1,1,0,0,0,0,1,0,0,No
0,1,0,1,0,1,1,0,1,0,0,No
1,1,0,0,0,0,1,1,0,0,0,No
0,1,1,0,1,0,0,0,0,0,0,No
0,0,0,0,0,1,0,1,1,0,0,No
1,0,0,0,1,0,0,1,1,1,0,Yes
0,1,1,0,0,1,0,1,0,1,1,No
0,1,0,0,0,0,0,1,0,1,0,No
1,1,0,0,0,0,1,0,1,0,1,No
1,1,1,0,1,1,0,1,0,0,0,Yes
0,0,0,1,1,1,0,1,1,0,0,Yes
1,1,1,1,0,1,0,0,1,1,0,No
0,0,1,1,1,0,1,0,0,0,0,Yes
0,0,0,0,0,0,0,0,1,1,0,No
