CustomerType,TypeofTravel,Class,Seatcomfort,DepartureArrivaltimeconvenient,Foodanddrink,Gatelocation,Baggagehandling,satisfaction
disloyal Customer,Business travel,Eco,4,4,4,3,3,dissatisfied
Loyal Customer,Personal Travel,Eco,2,4,2,3,3,dissatisfied
Loyal Customer,Business travel,Eco,1,1,0,3,2,dissatisfied
disloyal Customer,Business travel,Business,4,4,4,1,5,satisfied
Loyal Customer,Business travel,Business,4,4,4,4,5,satisfied
Loyal Customer,Personal Travel,Eco,4,4,5,4,5,satisfied
Loyal Customer,Business travel,Business,2,5,5,5,2,dissatisfied
Loyal Customer,Personal Travel,Eco,4,5,4,3,4,dissatisfied
Loyal Customer,Personal Travel,Eco,0,1,0,3,4,satisfied
disloyal Customer,Business travel,Business,3,3,3,4,5,dissatisfied
Loyal Customer,Business travel,Business,5,5,5,5,4,satisfied
Loyal Customer,Personal Travel,Eco,3,4,3,4,5,dissatisfied
Loyal Customer,Personal Travel,Eco,1,1,1,1,4,satisfied
Loyal Customer,Business travel,Eco,4,1,1,1,4,satisfied
Loyal Customer,Business travel,Business,1,1,1,1,4,satisfied
Loyal Customer,Business travel,Business,2,2,2,2,4,satisfied
disloyal Customer,Business travel,Business,4,4,4,3,4,satisfied
Loyal Customer,Business travel,Eco Plus,2,3,3,3,2,dissatisfied
Loyal Customer,Personal Travel,Business,2,5,2,2,5,satisfied
Loyal Customer,Business travel,Business,5,5,5,5,5,satisfied
Loyal Customer,Personal Travel,Eco,0,4,0,2,4,satisfied
Loyal Customer,Personal Travel,Eco,4,4,4,4,1,satisfied
disloyal Customer,Business travel,Eco Plus,1,1,1,3,2,dissatisfied
Loyal Customer,Business travel,Business,4,4,4,4,3,satisfied
Loyal Customer,Personal Travel,Eco,2,4,1,3,4,dissatisfied
disloyal Customer,Business travel,Eco,5,5,5,2,4,satisfied
Loyal Customer,Business travel,Business,3,2,3,3,5,satisfied
Loyal Customer,Business travel,Eco,4,5,5,5,4,satisfied
Loyal Customer,Business travel,Business,3,3,4,3,3,dissatisfied
disloyal Customer,Business travel,Business,2,5,2,1,4,dissatisfied
Loyal Customer,Personal Travel,Eco,3,5,2,3,4,dissatisfied
disloyal Customer,Business travel,Business,5,5,5,3,5,satisfied
Loyal Customer,Personal Travel,Business,1,3,1,4,3,dissatisfied
Loyal Customer,Business travel,Business,2,1,1,1,2,dissatisfied
Loyal Customer,Business travel,Business,3,3,3,3,4,satisfied
disloyal Customer,Business travel,Business,2,2,2,1,4,dissatisfied
Loyal Customer,Business travel,Business,2,4,4,4,4,dissatisfied
Loyal Customer,Business travel,Business,2,2,2,2,5,satisfied
Loyal Customer,Business travel,Business,0,0,0,5,5,satisfied
Loyal Customer,Business travel,Business,3,1,4,1,4,dissatisfied
Loyal Customer,Personal Travel,Eco,1,3,1,3,5,dissatisfied
Loyal Customer,Personal Travel,Eco,5,5,5,5,5,satisfied
Loyal Customer,Personal Travel,Eco Plus,4,5,5,1,4,dissatisfied
disloyal Customer,Business travel,Business,1,1,1,1,5,dissatisfied
Loyal Customer,Business travel,Eco,5,5,5,5,5,satisfied
Loyal Customer,Business travel,Business,4,5,5,5,4,dissatisfied
Loyal Customer,Personal Travel,Eco,5,5,5,5,3,satisfied
Loyal Customer,Personal Travel,Eco,4,4,2,4,3,satisfied
Loyal Customer,Personal Travel,Eco,4,4,4,5,1,dissatisfied
disloyal Customer,Business travel,Business,4,0,4,3,4,dissatisfied
Loyal Customer,Business travel,Business,5,5,2,5,5,satisfied
Loyal Customer,Business travel,Business,2,4,4,4,1,dissatisfied
Loyal Customer,Personal Travel,Eco,1,2,1,3,4,dissatisfied
Loyal Customer,Business travel,Business,0,0,0,5,3,satisfied
Loyal Customer,Business travel,Eco Plus,3,5,4,5,3,dissatisfied
Loyal Customer,Business travel,Business,0,4,0,4,1,satisfied
disloyal Customer,Business travel,Eco,5,5,5,1,5,satisfied
Loyal Customer,Personal Travel,Eco,3,4,0,2,4,dissatisfied
disloyal Customer,Business travel,Eco Plus,3,3,3,2,1,dissatisfied
Loyal Customer,Business travel,Business,3,3,3,3,5,satisfied
Loyal Customer,Business travel,Eco,4,4,4,4,5,satisfied
Loyal Customer,Personal Travel,Eco,3,4,3,5,5,dissatisfied
