age,avno60plus,month_sold,structure_quality,SALE_PRC
65,0.0,3,2,235000.0
26,0.0,12,4,289900.0
19,0.0,9,2,265100.0
1,0.0,12,5,1325000.0
61,0.0,10,4,410000.0
0,0.0,5,2,408600.0
28,0.0,10,5,353000.0
15,0.0,4,4,370000.0
0,0.0,6,4,473400.0
23,0.0,8,4,760000.0
0,0.0,3,2,360000.0
23,0.0,12,4,460000.0
15,0.0,3,4,425000.0
11,0.0,5,2,285000.0
51,0.0,9,4,505000.0
24,1.0,9,5,349800.0
58,0.0,12,4,540000.0
21,0.0,8,4,369000.0
17,0.0,5,5,1920000.0
15,0.0,8,4,340000.0
65,0.0,10,2,260000.0
22,0.0,4,4,289000.0
69,0.0,3,4,215000.0
22,0.0,6,4,286000.0
0,0.0,6,2,436700.0
36,0.0,12,4,1050000.0
0,0.0,11,2,341000.0
21,0.0,6,2,270000.0
31,0.0,12,4,380000.0
19,0.0,12,2,263000.0
16,0.0,7,5,640000.0
0,0.0,7,2,453000.0
22,0.0,9,5,285000.0
24,0.0,1,4,265000.0
25,0.0,10,4,263000.0
36,0.0,8,4,575000.0
24,0.0,7,5,845000.0
3,0.0,9,2,355000.0
9,0.0,12,2,190000.0
29,0.0,12,4,347000.0
16,0.0,12,4,405000.0
16,0.0,7,4,290000.0
36,0.0,4,4,143000.0
55,0.0,8,2,90000.0
25,0.0,6,4,527500.0
21,0.0,5,4,347000.0
4,0.0,2,4,360000.0
60,0.0,7,4,305000.0
1,0.0,5,4,334900.0
31,0.0,7,4,300000.0
64,0.0,2,4,155000.0
47,0.0,5,4,375000.0
0,0.0,3,4,298000.0
22,0.0,11,4,330000.0
31,0.0,8,2,129000.0
14,0.0,3,4,365000.0
22,0.0,12,4,300000.0
52,0.0,12,4,350000.0
61,0.0,10,2,480000.0
63,0.0,12,2,155000.0
63,0.0,8,4,595000.0
60,0.0,11,5,316500.0
21,0.0,10,4,285000.0
41,0.0,9,5,455900.0
74,1.0,2,5,315000.0
30,0.0,8,4,445000.0
1,0.0,1,5,1312500.0
11,0.0,12,4,500000.0
55,0.0,12,2,85000.0
10,0.0,9,4,360000.0
35,0.0,2,2,210000.0
58,0.0,11,4,320000.0
30,0.0,5,2,312000.0
11,0.0,12,5,800000.0
57,0.0,4,4,235000.0
21,0.0,1,4,245000.0
30,0.0,5,4,285000.0
12,0.0,1,2,246000.0
35,0.0,6,5,193000.0
17,0.0,10,4,375000.0
0,0.0,7,4,300000.0
61,0.0,8,4,950000.0
21,0.0,10,2,869000.0
29,0.0,11,4,358000.0
0,0.0,10,2,306000.0
58,0.0,10,4,275000.0
0,0.0,11,4,319600.0
67,0.0,12,4,460000.0
14,0.0,2,4,395000.0
48,0.0,11,4,457500.0
20,0.0,8,4,358000.0
36,0.0,7,4,360000.0
28,0.0,3,5,245000.0
7,0.0,5,4,589000.0
19,0.0,3,4,420000.0
59,0.0,7,2,285000.0
86,0.0,9,4,350000.0
27,0.0,6,2,245000.0
14,0.0,4,4,390000.0
30,0.0,1,5,1055000.0
31,0.0,5,4,455000.0
15,0.0,10,4,410000.0
16,0.0,11,4,359000.0
16,0.0,4,2,217000.0
60,0.0,2,4,238500.0
72,0.0,12,4,206000.0
6,0.0,4,5,2650000.0
36,0.0,5,5,255000.0
32,0.0,7,2,394000.0
6,0.0,2,5,895000.0
14,0.0,10,4,327500.0
41,0.0,1,4,253000.0
54,0.0,8,4,225000.0
18,0.0,1,4,345000.0
23,0.0,4,4,410000.0
76,0.0,11,1,90000.0
55,0.0,3,2,760000.0
26,0.0,4,4,875000.0
28,0.0,6,5,200000.0
39,0.0,2,4,260000.0
1,0.0,7,4,389000.0
36,0.0,5,4,140000.0
63,0.0,5,4,575000.0
41,0.0,3,4,325000.0
6,0.0,3,2,235000.0
19,0.0,8,4,349900.0
84,0.0,3,2,110000.0
21,0.0,6,4,476500.0
26,0.0,7,4,289900.0
29,0.0,7,5,605000.0
21,0.0,12,2,207000.0
17,0.0,4,4,346000.0
7,0.0,10,2,240000.0
21,0.0,4,2,209000.0
26,0.0,2,4,295000.0
21,0.0,7,4,335000.0
51,0.0,7,4,832700.0
29,0.0,4,4,475000.0
8,0.0,10,4,220000.0
0,0.0,10,5,1195500.0
26,0.0,3,4,390000.0
21,0.0,2,2,146000.0
46,0.0,5,2,355000.0
67,0.0,3,4,265000.0
10,0.0,4,2,189500.0
21,0.0,7,5,265000.0
29,0.0,5,2,415000.0
3,0.0,9,5,700000.0
12,0.0,4,2,215000.0
36,0.0,6,4,435000.0
0,0.0,4,5,1015200.0
12,0.0,10,4,588000.0
11,0.0,6,2,375000.0
15,0.0,2,5,897000.0
0,1.0,7,4,370000.0
11,0.0,11,4,479000.0
21,0.0,7,2,404000.0
12,0.0,10,2,165000.0
27,0.0,6,4,302000.0
10,0.0,11,2,350000.0
19,0.0,11,4,469900.0
0,0.0,12,5,660000.0
31,0.0,3,4,295000.0
9,0.0,11,2,252000.0
8,0.0,5,4,340000.0
26,0.0,10,4,750000.0
47,0.0,5,2,401000.0
21,0.0,11,4,378000.0
6,0.0,9,4,329000.0
81,0.0,11,4,950000.0
16,0.0,1,2,165000.0
26,0.0,9,4,310000.0
36,0.0,9,5,265000.0
39,0.0,12,5,216000.0
23,0.0,7,2,165000.0
28,0.0,8,4,320000.0
26,0.0,4,5,273000.0
36,0.0,6,5,700000.0
5,0.0,5,2,218000.0
18,0.0,10,4,1310000.0
21,0.0,1,2,200000.0
30,0.0,6,4,314000.0
17,0.0,10,2,225000.0
0,0.0,4,4,228000.0
26,0.0,5,5,2400000.0
31,0.0,4,2,266000.0
18,0.0,4,5,725000.0
57,0.0,9,2,285000.0
20,0.0,12,5,264900.0
12,0.0,8,4,363500.0
24,0.0,3,4,250000.0
62,0.0,8,2,210000.0
32,0.0,1,2,298000.0
27,0.0,7,4,270000.0
1,0.0,3,4,295000.0
92,0.0,5,1,80000.0
69,0.0,8,4,302500.0
2,0.0,6,2,249900.0
18,0.0,8,2,208000.0
34,0.0,6,2,180000.0
20,0.0,1,2,127000.0
26,0.0,8,4,420000.0
61,0.0,3,4,475000.0
58,0.0,9,4,350000.0
14,0.0,9,4,345000.0
16,0.0,9,2,209000.0
11,0.0,7,5,2060000.0
16,0.0,11,2,142000.0
36,0.0,6,2,370000.0
0,0.0,9,5,535000.0
18,0.0,6,4,256000.0
9,0.0,6,2,229000.0
2,0.0,9,5,396000.0
1,0.0,2,2,239400.0
65,1.0,12,4,340000.0
32,0.0,1,5,186000.0
23,0.0,6,4,320000.0
10,0.0,2,2,117000.0
66,0.0,11,5,700000.0
23,0.0,12,2,178000.0
56,0.0,1,1,154500.0
20,0.0,9,2,160000.0
64,0.0,3,2,170000.0
31,0.0,9,4,245000.0
10,0.0,9,2,165000.0
41,0.0,2,5,1900000.0
15,0.0,11,4,480000.0
18,0.0,12,4,315000.0
27,0.0,2,4,250000.0
16,0.0,2,4,329000.0
56,0.0,12,4,867500.0
65,0.0,12,2,260000.0
69,0.0,10,1,130000.0
30,0.0,8,2,365000.0
0,0.0,3,5,830000.0
44,0.0,2,4,390000.0
9,0.0,7,4,340000.0
48,0.0,6,2,243000.0
49,0.0,6,4,544000.0
27,0.0,4,2,247000.0
12,0.0,9,2,176000.0
63,0.0,1,4,280000.0
45,0.0,10,4,150000.0
28,0.0,5,4,350000.0
56,0.0,5,4,359900.0
11,0.0,3,2,272000.0
20,0.0,7,4,280000.0
66,0.0,8,4,705000.0
1,0.0,6,5,810000.0
61,0.0,3,5,215000.0
46,0.0,8,2,207000.0
57,0.0,7,5,239000.0
22,0.0,11,2,275000.0
37,0.0,12,2,507000.0
59,0.0,4,5,170000.0
92,0.0,2,4,257500.0
8,0.0,8,2,240000.0
70,0.0,7,5,825000.0
45,0.0,6,4,387500.0
23,0.0,1,4,260000.0
60,0.0,4,4,180000.0
25,0.0,9,4,300000.0
12,0.0,2,4,480000.0
23,0.0,4,2,172000.0
65,0.0,2,2,106900.0
11,0.0,1,2,240000.0
56,0.0,9,4,357000.0
17,0.0,12,4,330000.0
