FCFP6_1024_342,FCFP6_1024_343,FCFP6_1024_344,FCFP6_1024_345,FCFP6_1024_346,FCFP6_1024_347,FCFP6_1024_348,FCFP6_1024_349,FCFP6_1024_1023,MEDIAN_PXC50
0,1,0,0,1,0,0,0,0,5.699
0,0,0,1,0,0,0,0,0,6.283
0,0,0,0,0,0,0,0,0,5.284
0,0,0,0,1,1,0,0,0,7.824
0,0,0,0,1,0,0,0,0,5.0
1,0,0,0,0,0,0,0,0,5.301
0,0,1,0,0,0,0,0,0,9.553
0,0,0,0,1,0,1,0,0,5.194
1,0,0,0,1,0,0,0,0,5.928
0,0,1,0,0,1,0,0,0,7.569
0,0,0,0,1,0,0,0,1,5.699
1,0,0,0,0,1,0,0,0,6.0
0,0,0,0,0,1,0,0,0,7.921
0,1,0,0,0,0,0,0,0,7.481
0,0,0,0,1,0,0,1,0,7.699
0,0,0,1,1,0,0,0,0,6.236
1,0,0,0,1,1,0,0,0,5.155
0,0,0,0,0,0,1,0,0,10.046
1,0,0,1,0,0,0,0,0,4.301
0,0,1,1,1,0,0,0,0,8.194
0,1,0,1,1,0,0,0,0,5.757
0,0,0,0,0,0,0,1,0,5.201
0,0,0,0,0,0,0,0,1,5.027
0,0,0,0,0,1,1,0,0,6.141
0,0,1,0,1,1,0,0,0,5.745
0,1,0,0,0,0,0,1,0,4.0
0,0,1,0,1,0,0,0,0,5.301
0,0,0,1,1,1,0,0,0,5.222
0,1,1,0,0,0,0,0,0,7.377
0,1,0,0,1,1,0,0,0,5.149
0,0,0,0,1,1,0,0,1,5.347
0,0,1,0,0,0,0,1,0,5.409
1,1,0,0,0,0,0,0,1,4.325
0,1,0,0,0,1,0,0,0,8.009
0,1,0,1,1,0,0,0,1,4.708
0,0,0,0,1,1,1,0,0,6.788
0,0,1,0,0,0,1,0,0,9.77
1,1,0,0,0,0,0,0,0,5.301
0,1,0,1,0,0,0,0,0,8.495
0,0,0,0,0,1,0,1,0,7.921
1,0,1,0,0,0,0,0,0,5.301
0,0,0,1,0,0,1,0,0,4.301
1,1,1,0,0,0,0,0,0,5.301
1,0,0,1,1,0,0,0,0,7.638
0,0,1,1,0,0,0,0,0,9.481
0,0,0,1,0,1,0,0,0,5.456
0,1,1,0,0,1,0,0,0,7.699
0,0,1,0,0,0,0,0,1,7.481
0,1,1,0,1,0,0,0,0,6.469
0,0,0,1,1,0,1,0,0,4.271
0,1,0,0,0,0,1,0,0,4.301
0,0,1,0,1,0,0,0,1,5.167
0,1,0,0,1,0,0,1,0,4.441
