fixed_acidity,citric_acid,wine_color,median_wine_quality
6.0,0.35,white,5
6.7,0.49,white,5
6.5,0.37,white,7
6.4,0.24,white,6
7.0,0.19,red,5
6.6,0.35,white,7
5.6,0.27,white,6
6.6,0.3,white,6
6.6,0.32,white,7
7.1,0.36,white,7
7.0,0.1,white,5
7.8,0.29,white,6
6.5,0.52,white,6
5.7,0.32,white,6
6.8,0.44,white,5
7.3,0.18,red,6
7.5,0.33,white,6
7.4,0.19,red,5
9.4,0.3,white,5
6.3,0.19,white,6
7.9,0.24,red,6
7.5,0.27,red,6
6.5,0.31,white,7
6.5,0.38,white,6
6.0,0.29,white,5
6.5,0.12,white,5
8.1,0.28,white,6
8.2,0.43,white,6
5.8,0.21,white,6
7.0,0.32,white,5
6.8,0.3,white,5
7.0,0.24,white,6
8.3,0.1,red,5
5.0,0.18,white,7
6.5,0.3,white,7
6.5,0.41,white,5
7.5,0.23,white,5
7.5,0.42,red,6
7.3,0.31,white,6
8.6,0.42,white,7
6.3,0.46,white,6
5.0,0.0,red,6
7.8,0.26,white,6
8.6,0.65,red,5
5.2,0.02,white,6
6.9,0.32,white,7
7.8,0.38,white,5
6.9,0.24,white,5
5.6,0.19,white,6
6.9,0.24,red,4
7.0,0.3,white,6
8.2,0.38,red,5
10.2,0.57,red,5
7.5,0.32,white,6
6.5,0.28,white,7
7.7,0.58,white,5
6.5,0.0,red,6
7.5,0.39,white,6
9.9,0.41,red,5
7.4,0.05,red,6
6.8,0.18,white,5
6.6,0.24,white,6
7.5,0.48,white,5
7.5,0.03,red,5
6.7,0.32,white,7
8.0,0.42,white,5
8.0,0.35,red,5
7.1,0.39,white,7
7.0,0.28,white,6
6.8,0.36,white,6
6.3,0.34,white,7
7.7,0.43,red,5
10.2,0.4,red,6
7.2,0.34,white,6
6.7,0.28,white,7
6.5,0.25,white,6
5.7,0.0,red,6
7.8,0.13,red,6
6.7,0.33,white,6
6.2,0.42,white,6
6.2,0.49,white,6
8.9,0.37,white,5
7.3,0.27,white,7
7.8,0.56,white,5
6.1,0.28,white,6
7.0,0.48,white,6
8.3,0.29,red,6
10.4,0.23,red,6
8.4,0.27,white,6
8.1,0.34,white,6
7.1,0.44,red,6
6.8,0.5,white,5
8.1,0.24,white,5
7.9,0.4,white,6
6.9,0.37,white,5
6.9,0.74,white,5
8.3,0.49,white,5
6.4,0.32,white,6
7.9,0.28,white,6
7.4,0.16,red,6
7.7,0.0,red,5
6.8,0.34,white,7
6.4,0.29,white,5
6.9,0.29,white,6
7.8,0.26,red,6
5.2,0.37,white,6
6.5,0.27,white,6
8.3,0.01,red,4
6.3,0.37,white,6
7.0,0.38,white,8
7.4,0.0,red,3
5.7,0.27,white,5
6.4,0.46,white,6
7.5,0.31,white,6
7.3,0.49,white,7
7.6,0.39,white,6
6.0,0.27,white,7
10.4,0.48,red,6
8.8,0.45,white,7
7.7,0.32,white,6
6.8,0.24,white,6
8.1,0.36,red,7
9.3,0.41,red,5
7.7,0.01,red,7
10.5,0.47,red,7
5.8,0.31,white,7
7.4,0.49,white,6
8.2,0.36,white,8
6.2,0.39,white,6
6.8,0.33,white,6
6.7,0.36,white,5
5.3,0.39,white,6
6.9,0.22,white,5
5.0,0.5,red,6
6.5,0.35,white,6
6.0,0.32,white,6
5.7,0.35,white,6
9.9,0.45,red,5
