,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,FinancialDistressNextTwoYears No,FinancialDistressNextTwoYears Yes
0,0,0,,No,
1,0,0,0.0,No,
2,0,0,1.0,No,
3,0,0,2.0,No,
4,0,0,3.0,No,
5,0,0,4.0,,Yes
6,0,0,5.0,No,
7,0,0,6.0,No,
8,0,0,7.0,No,
9,0,0,8.0,No,
10,0,0,9.0,No,
11,0,0,10.0,No,
12,0,1,,No,
13,0,1,0.0,No,
14,0,1,1.0,No,
15,0,1,2.0,No,
16,0,1,3.0,,Yes
17,0,1,4.0,,Yes
18,0,1,5.0,No,
19,0,1,6.0,,Yes
20,0,1,7.0,No,
21,0,2,,,Yes
22,0,2,0.0,No,
23,0,2,1.0,,Yes
24,0,2,2.0,No,
25,0,2,3.0,,Yes
26,0,2,4.0,,Yes
27,0,2,5.0,,Yes
28,0,2,6.0,,Yes
29,0,3,,,Yes
30,0,3,0.0,,Yes
31,0,3,1.0,,Yes
32,0,3,2.0,No,
33,0,3,3.0,,Yes
34,0,3,4.0,,Yes
35,0,3,5.0,,Yes
36,0,3,6.0,No,
37,0,4,0.0,,Yes
38,0,4,1.0,No,
39,0,4,2.0,No,
40,0,5,0.0,,Yes
41,0,5,2.0,No,
42,0,6,1.0,,Yes
43,0,6,4.0,,Yes
44,0,7,,No,
45,0,7,0.0,,Yes
46,0,7,1.0,No,
47,0,7,2.0,No,
48,0,11,0.0,,Yes
49,1,0,,No,
50,1,0,0.0,No,
51,1,0,1.0,No,
52,1,0,2.0,No,
53,1,0,3.0,,Yes
54,1,0,4.0,No,
55,1,0,5.0,No,
56,1,0,6.0,No,
57,1,0,7.0,No,
58,1,0,8.0,No,
59,1,0,10.0,No,
60,1,0,13.0,No,
61,1,0,20.0,No,
62,1,1,,,Yes
63,1,1,0.0,No,
64,1,1,1.0,No,
65,1,1,2.0,,Yes
66,1,1,3.0,No,
67,1,1,4.0,No,
68,1,1,5.0,,Yes
69,1,1,6.0,No,
70,1,1,7.0,No,
71,1,2,,,Yes
72,1,2,0.0,No,
73,1,2,1.0,,Yes
74,1,2,2.0,,Yes
75,1,2,3.0,,Yes
76,1,2,4.0,,Yes
77,1,2,5.0,,Yes
78,1,3,,No,
79,1,3,0.0,,Yes
80,1,3,1.0,,Yes
81,1,3,2.0,,Yes
82,1,3,3.0,,Yes
83,1,3,4.0,,Yes
84,1,3,6.0,,Yes
85,1,4,0.0,,Yes
86,1,4,1.0,,Yes
87,1,4,2.0,,Yes
88,1,4,4.0,,Yes
89,1,5,,,Yes
90,1,5,0.0,,Yes
91,1,5,1.0,,Yes
92,1,5,2.0,,Yes
93,1,5,3.0,No,
94,1,6,0.0,No,
95,1,6,1.0,,Yes
96,1,6,4.0,,Yes
97,1,7,0.0,,Yes
98,2,0,,No,
99,2,0,0.0,No,
100,2,0,1.0,No,
101,2,0,2.0,No,
102,2,0,3.0,No,
103,2,0,4.0,No,
104,2,0,5.0,No,
105,2,0,6.0,,Yes
106,2,0,7.0,No,
107,2,0,8.0,,Yes
108,2,1,,,Yes
109,2,1,0.0,No,
110,2,1,1.0,No,
111,2,1,2.0,,Yes
112,2,1,3.0,,Yes
113,2,1,4.0,No,
114,2,1,5.0,No,
115,2,2,,No,
116,2,2,0.0,,Yes
117,2,2,1.0,,Yes
118,2,2,2.0,No,
119,2,2,3.0,No,
120,2,2,4.0,,Yes
121,2,2,5.0,,Yes
122,2,2,6.0,,Yes
123,2,2,7.0,,Yes
124,2,3,,,Yes
125,2,3,0.0,No,
126,2,3,1.0,,Yes
127,2,3,2.0,No,
128,2,3,3.0,,Yes
129,2,3,5.0,No,
130,2,3,6.0,,Yes
131,2,4,0.0,,Yes
132,2,4,1.0,,Yes
133,2,4,2.0,No,
134,2,4,4.0,,Yes
135,2,5,0.0,No,
136,2,5,3.0,,Yes
137,2,6,0.0,,Yes
138,2,6,1.0,,Yes
139,2,6,3.0,,Yes
140,3,0,,No,
141,3,0,0.0,No,
142,3,0,1.0,No,
143,3,0,2.0,,Yes
144,3,0,3.0,,Yes
145,3,0,4.0,,Yes
146,3,0,5.0,No,
147,3,0,6.0,No,
148,3,1,,No,
149,3,1,0.0,No,
150,3,1,1.0,,Yes
151,3,1,2.0,No,
152,3,1,3.0,No,
153,3,1,4.0,No,
154,3,1,5.0,No,
155,3,1,6.0,,Yes
156,3,2,,,Yes
157,3,2,0.0,,Yes
158,3,2,1.0,,Yes
159,3,2,2.0,,Yes
160,3,2,3.0,,Yes
161,3,2,4.0,,Yes
162,3,3,,,Yes
163,3,3,0.0,No,
164,3,3,1.0,No,
165,3,3,2.0,No,
166,3,3,3.0,No,
167,3,3,7.0,,Yes
168,3,4,0.0,,Yes
169,3,4,1.0,No,
170,3,4,2.0,,Yes
171,3,4,3.0,No,
172,3,4,4.0,,Yes
173,3,5,,,Yes
174,3,5,0.0,,Yes
175,3,5,2.0,No,
176,3,6,0.0,No,
177,3,7,0.0,,Yes
178,3,7,3.0,,Yes
179,3,8,0.0,,Yes
180,3,9,2.0,No,
181,4,0,,No,
182,4,0,0.0,,Yes
183,4,0,1.0,No,
184,4,0,2.0,No,
185,4,0,3.0,No,
186,4,0,4.0,,Yes
187,4,0,5.0,No,
188,4,1,,No,
189,4,1,0.0,,Yes
190,4,1,1.0,,Yes
191,4,1,2.0,,Yes
192,4,1,3.0,,Yes
193,4,1,4.0,,Yes
194,4,1,6.0,,Yes
195,4,2,,No,
196,4,2,0.0,,Yes
197,4,2,1.0,No,
198,4,2,2.0,No,
199,4,2,3.0,,Yes
200,4,2,4.0,,Yes
201,4,3,0.0,,Yes
202,4,3,1.0,No,
203,4,3,2.0,,Yes
204,4,3,3.0,No,
205,4,3,4.0,,Yes
206,4,4,0.0,,Yes
207,4,4,1.0,,Yes
208,4,4,2.0,,Yes
209,4,6,0.0,,Yes
210,4,6,1.0,,Yes
211,4,7,1.0,,Yes
212,5,0,,,Yes
213,5,0,0.0,,Yes
214,5,0,1.0,No,
215,5,0,2.0,,Yes
216,5,0,3.0,,Yes
217,5,0,4.0,,Yes
218,5,0,5.0,No,
219,5,1,,No,
220,5,1,0.0,No,
221,5,1,1.0,,Yes
222,5,1,2.0,No,
223,5,1,3.0,,Yes
224,5,1,4.0,No,
225,5,1,7.0,,Yes
226,5,2,0.0,No,
227,5,2,1.0,,Yes
228,5,2,2.0,,Yes
229,5,2,3.0,,Yes
230,5,2,4.0,,Yes
231,5,3,0.0,,Yes
232,5,3,1.0,,Yes
233,5,4,0.0,No,
234,5,4,1.0,,Yes
235,5,4,2.0,,Yes
236,5,5,0.0,,Yes
237,5,5,1.0,,Yes
238,5,8,0.0,No,
239,6,0,,No,
240,6,0,0.0,,Yes
241,6,0,1.0,No,
242,6,0,2.0,No,
243,6,0,3.0,No,
244,6,0,4.0,No,
245,6,1,,,Yes
246,6,1,0.0,,Yes
247,6,1,1.0,No,
248,6,1,2.0,,Yes
249,6,1,3.0,,Yes
250,6,1,4.0,,Yes
251,6,2,0.0,,Yes
252,6,2,1.0,,Yes
253,6,2,2.0,,Yes
254,6,2,3.0,,Yes
255,6,2,4.0,,Yes
256,6,3,0.0,,Yes
257,6,3,1.0,,Yes
258,6,3,2.0,No,
259,6,3,3.0,,Yes
260,6,3,4.0,,Yes
261,6,4,0.0,,Yes
262,6,4,1.0,,Yes
263,6,5,0.0,,Yes
264,6,6,1.0,,Yes
265,7,0,0.0,No,
266,7,0,1.0,,Yes
267,7,0,2.0,No,
268,7,1,0.0,No,
269,7,1,1.0,No,
270,7,1,3.0,No,
271,7,1,4.0,,Yes
272,7,2,0.0,No,
273,7,2,1.0,,Yes
274,7,2,2.0,,Yes
275,7,2,3.0,,Yes
276,7,2,4.0,,Yes
277,7,2,5.0,,Yes
278,7,3,0.0,No,
279,7,3,1.0,No,
280,7,3,2.0,No,
281,7,4,0.0,,Yes
282,7,5,1.0,,Yes
283,8,0,0.0,,Yes
284,8,0,1.0,No,
285,8,0,2.0,No,
286,8,0,3.0,No,
287,8,0,4.0,,Yes
288,8,1,0.0,No,
289,8,1,1.0,No,
290,8,1,2.0,No,
291,8,1,3.0,No,
292,8,2,0.0,No,
293,8,2,1.0,,Yes
294,8,2,3.0,,Yes
295,8,3,0.0,No,
296,8,4,4.0,No,
297,8,6,1.0,No,
298,9,0,,No,
299,9,0,0.0,No,
300,9,0,1.0,,Yes
301,9,1,1.0,,Yes
302,9,1,3.0,No,
303,9,2,0.0,No,
304,9,2,1.0,No,
305,9,3,0.0,No,
306,10,0,0.0,No,
307,10,1,0.0,,Yes
308,10,2,0.0,,Yes
309,10,5,1.0,,Yes
310,11,1,0.0,,Yes
311,12,1,0.0,,Yes
312,13,0,3.0,,Yes
313,96,96,0.0,,Yes
314,96,96,1.0,,Yes
315,96,96,2.0,,Yes
316,98,98,,No,
317,98,98,0.0,No,
318,98,98,1.0,,Yes
319,98,98,2.0,,Yes
320,98,98,3.0,,Yes
321,98,98,4.0,No,
322,98,98,5.0,No,
