,NumTrades90Ever2DerogPubRec,MaxDelq2PublicRecLast12M,MaxDelqEver,RiskPerformance Bad,RiskPerformance Good
0,-9,-9,-9,,Good
1,0,3,2,,Good
2,0,3,5,Bad,
3,0,4,2,Bad,
4,0,4,5,Bad,
5,0,4,6,Bad,
6,0,5,2,Bad,
7,0,5,5,Bad,
8,0,5,6,Bad,
9,0,5,7,Bad,
10,0,5,8,,Good
11,0,6,2,Bad,
12,0,6,5,,Good
13,0,6,6,,Good
14,0,6,7,,Good
15,0,6,8,,Good
16,0,7,6,,Good
17,0,7,8,,Good
18,0,9,8,Bad,
19,1,0,2,,Good
20,1,0,5,,Good
21,1,0,6,,Good
22,1,0,8,Bad,
23,1,1,2,Bad,
24,1,1,3,Bad,
25,1,2,3,,Good
26,1,2,4,Bad,
27,1,3,2,Bad,
28,1,3,3,Bad,
29,1,3,4,Bad,
30,1,3,5,Bad,
31,1,4,2,Bad,
32,1,4,3,Bad,
33,1,4,4,,Good
34,1,4,5,,Good
35,1,4,6,Bad,
36,1,5,2,Bad,
37,1,5,3,Bad,
38,1,5,4,Bad,
39,1,5,5,Bad,
40,1,5,6,Bad,
41,1,5,7,Bad,
42,1,5,8,Bad,
43,1,6,2,Bad,
44,1,6,3,,Good
45,1,6,4,,Good
46,1,6,5,Bad,
47,1,6,6,Bad,
48,1,6,7,,Good
49,1,6,8,,Good
50,1,7,2,Bad,
51,1,7,8,Bad,
52,1,9,8,Bad,
53,2,0,2,Bad,
54,2,0,3,Bad,
55,2,0,4,Bad,
56,2,0,5,Bad,
57,2,0,6,Bad,
58,2,0,8,Bad,
59,2,1,2,Bad,
60,2,1,3,Bad,
61,2,2,2,Bad,
62,2,2,4,Bad,
63,2,3,2,Bad,
64,2,3,3,Bad,
65,2,3,4,Bad,
66,2,3,5,,Good
67,2,4,2,Bad,
68,2,4,3,Bad,
69,2,4,4,Bad,
70,2,4,6,Bad,
71,2,5,2,Bad,
72,2,5,3,Bad,
73,2,5,4,,Good
74,2,5,5,Bad,
75,2,5,6,Bad,
76,2,5,7,Bad,
77,2,6,2,Bad,
78,2,6,3,,Good
79,2,6,4,Bad,
80,2,6,5,Bad,
81,2,6,6,Bad,
82,2,6,8,Bad,
83,2,7,8,Bad,
84,3,0,2,Bad,
85,3,0,3,Bad,
86,3,0,4,Bad,
87,3,0,5,Bad,
88,3,0,6,Bad,
89,3,0,7,,Good
90,3,0,8,,Good
91,3,1,3,Bad,
92,3,2,4,Bad,
93,3,3,2,,Good
94,3,3,4,,Good
95,3,3,5,Bad,
96,3,4,2,Bad,
97,3,4,3,Bad,
98,3,4,4,Bad,
99,3,4,5,Bad,
100,3,4,6,Bad,
101,3,5,2,Bad,
102,3,6,2,Bad,
103,3,6,3,Bad,
104,3,6,4,Bad,
105,3,6,5,,Good
106,3,6,6,Bad,
107,3,6,8,Bad,
108,3,7,8,Bad,
109,4,0,2,Bad,
110,4,0,3,Bad,
111,4,0,4,Bad,
112,4,0,5,Bad,
113,4,0,6,Bad,
114,4,0,8,,Good
115,4,1,2,Bad,
116,4,1,3,Bad,
117,4,2,3,Bad,
118,4,2,4,Bad,
119,4,3,3,Bad,
120,4,4,2,Bad,
121,4,4,3,,Good
122,4,4,4,Bad,
123,4,4,5,Bad,
124,4,4,6,,Good
125,4,5,2,Bad,
126,4,6,2,Bad,
127,4,6,3,Bad,
128,4,6,4,Bad,
129,4,6,5,,Good
130,4,6,6,Bad,
131,4,6,8,Bad,
132,4,7,8,Bad,
133,5,0,2,Bad,
134,5,0,6,Bad,
135,5,0,8,Bad,
136,5,1,2,Bad,
137,5,1,3,,Good
138,5,2,4,,Good
139,5,4,2,Bad,
140,5,4,4,,Good
141,5,4,5,Bad,
142,5,4,6,,Good
143,5,5,2,Bad,
144,5,6,2,Bad,
145,5,6,3,Bad,
146,5,6,4,Bad,
147,5,6,5,Bad,
148,5,6,6,Bad,
149,5,6,8,Bad,
150,6,0,2,,Good
151,6,0,3,Bad,
152,6,2,2,Bad,
153,6,3,3,Bad,
154,6,6,2,Bad,
155,6,6,6,Bad,
156,7,0,2,Bad,
157,7,0,6,Bad,
158,7,0,8,Bad,
159,7,4,2,Bad,
160,7,6,2,Bad,
161,7,6,3,,Good
162,7,6,6,,Good
163,7,6,8,Bad,
164,8,0,2,,Good
165,8,6,2,,Good
166,9,0,2,Bad,
167,9,0,6,,Good
168,9,4,2,Bad,
169,9,4,3,Bad,
170,9,4,4,Bad,
171,9,5,2,Bad,
172,9,6,2,Bad,
173,9,6,4,Bad,
174,10,0,2,Bad,
175,10,4,6,Bad,
176,11,5,2,Bad,
177,11,6,6,,Good
178,12,0,2,Bad,
179,12,4,2,Bad,
180,14,6,3,Bad,
181,16,0,6,Bad,
182,16,1,3,Bad,
183,19,6,2,Bad,
