,seismoacoustic,shift,ghazard,nbumps4,nbumps5,HighEnergySeismicBump a,HighEnergySeismicBump b
0,a,N,a,0,0,No,No
1,a,N,a,0,1,,No
2,a,N,a,1,0,No,Yes
3,a,N,b,0,0,No,No
4,a,W,a,0,0,No,No
5,a,W,a,0,1,No,No
6,a,W,a,1,0,No,No
7,a,W,a,2,0,No,Yes
8,a,W,a,3,0,,No
9,a,W,b,0,0,No,No
10,b,N,a,0,0,No,No
11,b,N,a,0,1,No,No
12,b,N,a,1,0,Yes,No
13,b,N,b,0,0,No,No
14,b,N,b,0,1,No,
15,b,N,b,1,0,,No
16,b,N,c,0,0,No,No
17,b,W,a,0,0,No,No
18,b,W,a,0,1,No,
19,b,W,a,1,0,No,No
20,b,W,a,2,0,,No
21,b,W,a,3,0,,Yes
22,b,W,b,0,0,No,No
23,b,W,b,0,1,,Yes
24,b,W,b,1,0,No,Yes
25,b,W,c,0,0,,No
26,c,N,a,0,0,No,No
27,c,N,c,0,0,No,
28,c,W,a,0,0,No,No
29,c,W,a,1,0,,No
30,c,W,b,0,0,Yes,No
31,c,W,b,1,0,Yes,
32,c,W,c,0,0,No,
