,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,having_IP_Address,WebsiteType Legitimate,WebsiteType Phishy
0,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,,Phishy
1,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,,Phishy
2,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Phishy,Phishy
3,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Phishy
4,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Phishy,
5,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
6,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Phishy,
7,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy,
8,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Phishy,
9,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
10,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,,Phishy
11,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,
12,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy,
13,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,
14,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,,Phishy
15,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,,Phishy
16,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Phishy,
17,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Phishy,
18,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy,
19,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,
20,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,,Suspicious
21,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,,Phishy
22,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Phishy,Suspicious,,Phishy
23,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,,Phishy
24,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Phishy,
25,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
26,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Phishy,Legitimate,Phishy,
27,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,
28,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Phishy,
29,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Suspicious,Suspicious,
30,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Phishy
31,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Phishy,
32,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy,Phishy
33,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,,Phishy
34,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,Phishy
