ResourceApproved,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
Yes,37793,81744,117902,117903,118783,118451,130134,118453,118454
Yes,40309,1541,117961,118225,123173,119093,123174,119095,119096
Yes,27356,205,117961,118386,118746,118784,147114,290919,118786
Yes,5173,8229,117961,118300,121305,119351,149246,3130,119353
Yes,77207,51791,117961,119256,120943,118995,280788,292795,118997
Yes,82641,196,117961,118413,121639,118451,130134,118453,118454
No,43294,4566,119062,119091,118992,118028,130134,117887,118030
Yes,34924,3838,117961,118225,119924,118321,117906,290919,118322
Yes,30830,16803,119596,119597,120823,118890,123957,118398,118892
Yes,80175,23136,117961,118052,119742,117905,117906,290919,117908
No,34433,4626,117961,118052,119972,118784,117906,290919,118786
Yes,20274,25631,117961,118343,120291,118422,144350,118424,118425
Yes,80550,5717,117961,118300,124725,118321,117906,290919,118322
Yes,42977,4713,117961,118052,120398,120357,238730,118424,120359
Yes,80710,8607,117961,118225,118403,117905,240983,290919,117908
Yes,2925,2976,117902,117903,118700,118321,117906,290919,118322
Yes,106492,60003,119615,119616,117895,117879,118250,19721,117880
Yes,42929,6890,117961,118446,120317,118321,117906,290919,118322
Yes,34924,8283,117961,118327,118933,117905,117906,290919,117908
Yes,16306,2610,117961,118327,121979,118318,168365,118205,118319
Yes,39333,7369,117961,118386,118896,118321,117906,290919,118322
Yes,15716,15473,117902,118041,117945,280788,280788,292795,119082
Yes,7678,1930,122880,122974,122870,120097,159929,270488,120099
Yes,15671,7346,117961,118343,123125,118777,279443,308574,118779
Yes,29304,85101,117975,117976,117920,120132,133508,120134,120135
Yes,83157,16973,117961,118300,124942,118321,117906,290919,118322
Yes,278393,3970,117961,118300,118458,118054,118054,117887,118055
Yes,76431,5262,119596,119597,124133,120344,282594,118424,120346
Yes,78583,50952,117961,118327,118929,118784,117906,290919,118786
No,18072,15530,118573,118574,117945,280788,158910,292795,119082
Yes,19666,56141,117961,117969,19666,118368,118368,117887,118486
Yes,33146,13850,117961,118386,121961,128764,118611,118612,128765
Yes,33147,1652,117961,118327,118507,179731,135309,117887,117973
Yes,44812,7578,117961,118343,120722,118784,117906,290919,118786
Yes,45127,13874,117961,118446,120368,118685,122058,308574,118687
Yes,34433,3966,117961,118343,122012,117905,117906,290919,117908
Yes,36961,7679,118573,118574,117945,259173,127423,292795,118943
Yes,38964,4341,117961,118343,118957,118321,117906,290919,118322
Yes,44722,4576,117961,118327,118391,118321,235272,290919,118322
Yes,97519,36051,117961,118386,118635,118685,262400,308574,118687
No,29304,57133,117980,118076,117912,118568,146968,19721,118570
Yes,42085,51243,117961,118300,123055,120344,134311,118424,120346
Yes,42668,53255,120864,120865,120551,118777,191629,308574,118779
Yes,42240,30,117961,118413,120370,118784,117906,290919,118786
Yes,72445,123310,117961,118386,121883,117905,117906,290919,117908
No,31852,58466,118602,118603,117920,118568,171084,19721,118570
Yes,42085,4953,117961,118343,118911,120344,310997,118424,120346
Yes,75834,4718,117961,118446,120317,118321,290919,290919,118322
Yes,974,6277,117961,118343,118437,117905,240983,290919,117908
Yes,75834,141,117961,118225,122273,117905,240983,290919,117908
Yes,40132,32457,117961,118327,118320,118321,117906,290919,118322
Yes,1020,3262,117961,118343,123125,117905,117906,290919,117908
Yes,79092,3788,117961,118343,120722,118784,117906,290919,118786
Yes,28149,50019,117961,118052,120096,118784,121873,290919,118786
Yes,25231,20412,117890,117891,117878,117879,117879,19721,117880
No,33209,17970,117961,118446,148450,118054,120605,117887,118055
Yes,39264,5547,117902,118041,117945,280788,270820,292795,119082
Yes,79092,5244,117961,118343,119598,119743,311752,3130,119745
Yes,18688,20439,117890,118102,117878,117879,117879,19721,117880
Yes,39907,14731,117961,118446,118447,118784,213944,290919,118786
Yes,0,87908,117961,118413,120370,118784,117906,290919,118786
No,90379,5423,117961,118327,118391,118321,117906,290919,118322
Yes,33058,46104,117961,118327,120559,120560,304465,118643,120562
Yes,25098,2199,4292,126095,118378,119192,300603,119184,119194
Yes,75045,57757,117961,118343,142038,118321,117906,290919,118322
Yes,13878,21162,118095,118096,118008,118568,125652,19721,118570
