ROLE_FAMILY,ResourceApproved
118453,Yes
119095,Yes
290919,Yes
3130,Yes
292795,Yes
117887,No
118398,Yes
118424,Yes
19721,Yes
118205,Yes
270488,Yes
308574,Yes
120134,Yes
118612,Yes
118643,Yes
119184,Yes
249618,Yes
118870,Yes
4673,Yes
118295,Yes
118131,No
119784,Yes
118331,Yes
120518,Yes
118960,Yes
121916,Yes
118504,Yes
118363,Yes
118467,Yes
118667,Yes
19793,No
118762,Yes
118638,Yes
118704,Yes
119006,Yes
136398,Yes
6725,Yes
130364,Yes
119221,Yes
119695,Yes
119788,Yes
118474,Yes
118372,Yes
122032,Yes
131999,Yes
118478,Yes
124487,Yes
119772,Yes
118347,Yes
132725,Yes
121620,Yes
121069,Yes
123689,Yes
155173,Yes
159679,Yes
124136,Yes
120302,Yes
254395,Yes
161100,Yes
118736,Yes
143398,Yes
123611,Yes
149353,Yes
127957,Yes
124145,Yes
151277,Yes
125407,Yes
