job,marital,education,default,housing,loan,contact,poutcome,SubscribeTermDeposit
entrepreneur,married,secondary,no,yes,no,cellular,unknown,no
admin.,married,secondary,no,yes,no,cellular,unknown,no
management,married,secondary,no,no,yes,cellular,unknown,no
blue-collar,married,primary,no,yes,no,cellular,other,no
blue-collar,married,secondary,no,yes,no,unknown,unknown,no
management,married,secondary,no,no,no,unknown,unknown,no
technician,single,tertiary,no,no,no,cellular,unknown,no
management,single,tertiary,no,no,yes,cellular,unknown,no
retired,divorced,secondary,no,no,no,cellular,unknown,no
blue-collar,married,primary,no,no,no,cellular,unknown,no
admin.,married,secondary,no,yes,no,unknown,unknown,no
services,divorced,primary,no,yes,yes,cellular,unknown,no
blue-collar,married,primary,no,yes,no,cellular,unknown,no
technician,married,secondary,no,yes,no,unknown,unknown,no
blue-collar,married,secondary,no,no,no,cellular,unknown,no
management,married,tertiary,no,no,no,cellular,other,no
management,married,tertiary,no,yes,no,unknown,unknown,no
services,single,secondary,no,yes,no,unknown,unknown,no
student,single,secondary,no,yes,no,cellular,unknown,no
services,married,primary,no,no,no,unknown,unknown,no
services,single,secondary,no,no,no,cellular,unknown,no
services,divorced,secondary,no,yes,no,unknown,unknown,no
technician,single,secondary,no,yes,no,unknown,unknown,no
management,married,tertiary,no,no,no,cellular,unknown,no
management,single,tertiary,no,no,no,cellular,failure,no
technician,married,tertiary,no,yes,no,cellular,unknown,yes
admin.,single,secondary,no,no,no,cellular,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,unknown,no
admin.,single,secondary,no,yes,no,unknown,unknown,no
blue-collar,single,primary,yes,no,yes,cellular,unknown,no
blue-collar,single,tertiary,no,no,no,cellular,success,yes
blue-collar,married,primary,no,yes,no,unknown,unknown,no
unemployed,married,secondary,no,no,no,telephone,unknown,no
technician,married,secondary,no,no,yes,cellular,unknown,no
self-employed,married,tertiary,no,no,no,cellular,unknown,no
housemaid,single,primary,no,no,no,cellular,unknown,no
services,married,secondary,no,no,no,cellular,unknown,no
technician,married,secondary,no,yes,no,cellular,failure,no
technician,divorced,secondary,no,yes,no,cellular,failure,no
management,single,tertiary,no,yes,no,unknown,unknown,no
technician,divorced,secondary,no,yes,yes,unknown,unknown,no
technician,single,tertiary,no,yes,no,cellular,failure,no
management,divorced,secondary,no,yes,no,cellular,failure,no
blue-collar,single,primary,no,yes,no,unknown,unknown,no
services,married,secondary,no,no,no,cellular,failure,no
blue-collar,divorced,secondary,no,yes,no,unknown,unknown,no
entrepreneur,married,secondary,no,yes,no,unknown,unknown,no
blue-collar,single,tertiary,no,no,no,telephone,unknown,yes
technician,divorced,secondary,no,no,no,cellular,unknown,no
services,single,secondary,no,yes,no,cellular,failure,no
admin.,married,secondary,no,yes,yes,unknown,unknown,no
management,married,tertiary,no,yes,no,cellular,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,unknown,no
management,married,tertiary,yes,no,yes,cellular,unknown,no
retired,married,tertiary,no,no,no,cellular,failure,no
management,divorced,tertiary,no,no,yes,cellular,unknown,yes
blue-collar,divorced,unknown,no,yes,no,unknown,unknown,no
entrepreneur,single,tertiary,no,yes,yes,unknown,unknown,no
technician,married,secondary,no,yes,no,cellular,success,no
retired,married,primary,no,no,no,cellular,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,unknown,no
self-employed,single,unknown,no,no,no,cellular,failure,no
management,single,tertiary,no,no,no,cellular,unknown,no
management,married,tertiary,no,no,yes,cellular,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,unknown,no
blue-collar,married,secondary,no,no,yes,cellular,unknown,no
student,single,tertiary,no,no,no,cellular,failure,yes
blue-collar,married,secondary,no,no,no,unknown,unknown,no
services,single,secondary,no,yes,no,cellular,other,no
admin.,married,secondary,no,yes,no,cellular,failure,no
technician,married,secondary,no,no,no,cellular,unknown,no
blue-collar,single,primary,no,yes,no,telephone,other,no
retired,married,primary,no,no,no,unknown,unknown,no
technician,married,tertiary,no,no,no,cellular,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,unknown,no
technician,single,secondary,no,yes,no,cellular,unknown,no
services,married,primary,no,yes,no,cellular,failure,no
blue-collar,married,unknown,no,no,no,cellular,other,no
technician,single,secondary,no,yes,no,cellular,failure,no
management,single,tertiary,no,yes,no,cellular,failure,no
services,married,secondary,no,yes,no,unknown,unknown,no
technician,married,secondary,no,yes,no,cellular,other,no
admin.,single,secondary,no,yes,yes,unknown,unknown,no
admin.,single,secondary,no,yes,yes,cellular,unknown,no
housemaid,single,tertiary,no,no,no,cellular,unknown,no
entrepreneur,divorced,secondary,no,yes,yes,cellular,unknown,no
management,divorced,tertiary,no,no,no,cellular,unknown,no
management,married,tertiary,no,no,no,cellular,failure,no
admin.,single,secondary,no,yes,no,cellular,unknown,no
services,single,primary,no,no,no,unknown,unknown,no
blue-collar,single,primary,no,no,yes,unknown,unknown,no
management,married,secondary,no,no,no,cellular,failure,no
management,married,tertiary,no,yes,yes,cellular,unknown,no
entrepreneur,married,unknown,yes,yes,no,unknown,unknown,no
retired,married,secondary,no,no,yes,unknown,unknown,no
admin.,married,secondary,no,no,no,cellular,unknown,no
services,divorced,primary,no,yes,no,cellular,other,no
management,married,tertiary,no,yes,no,cellular,failure,no
services,married,secondary,no,no,no,telephone,unknown,no
services,married,secondary,no,no,no,cellular,success,yes
self-employed,married,tertiary,no,no,no,unknown,unknown,no
retired,married,secondary,no,no,no,cellular,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,other,no
admin.,single,tertiary,no,no,no,cellular,unknown,no
student,single,tertiary,no,no,no,cellular,other,no
technician,married,secondary,no,no,no,telephone,unknown,no
