days_before,day_of_week,time,category,attended
6,Wed,AM,HIIT,Yes
8,Thu,AM,Strength,Yes
10,Fri,AM,Cycling,No
12,Sat,AM,HIIT,No
8,Thu,AM,HIIT,No
2,Mon,AM,HIIT,No
10,Fri,AM,Yoga,Yes
12,Sat,AM,Cycling,Yes
3,Mon,PM,HIIT,No
14,Sun,AM,Cycling,No
5,Wed,PM,HIIT,No
3,Mon,AM,Cycling,No
3,Mon,PM,Strength,No
2,Mon,PM,HIIT,No
4,Tue,AM,Cycling,Yes
12,Fri,PM,Cycling,No
2,Mon,AM,Yoga,No
7,Wed,PM,Cycling,Yes
14,Sun,AM,HIIT,No
1,Mon,PM,HIIT,Yes
9,Thu,PM,Cycling,Yes
12,Sat,AM,Strength,No
2,Mon,AM,Strength,Yes
6,Wed,PM,HIIT,No
8,Thu,PM,Strength,No
10,Fri,AM,HIIT,Yes
11,Fri,AM,Yoga,No
13,Wed,PM,Cycling,No
14,Sun,AM,Yoga,Yes
8,Thu,AM,Cycling,No
11,Fri,AM,Aqua,Yes
13,Sun,PM,Cycling,Yes
13,Sat,AM,Yoga,No
7,Thu,PM,Cycling,No
10,Fri,AM,Strength,No
2,Mon,AM,Cycling,No
6,Wed,AM,Cycling,No
8,Thu,PM,Cycling,No
7,Thu,PM,HIIT,Yes
11,Sat,PM,HIIT,Yes
3,Tue,PM,Strength,No
3,Tue,PM,Cycling,No
14,Sun,PM,Strength,Yes
5,Tue,PM,Strength,No
13,Sat,AM,Strength,No
4,Tue,PM,HIIT,No
4,Tue,AM,HIIT,Yes
13,Sun,PM,HIIT,No
5,Wed,PM,Cycling,No
12,Sat,AM,Yoga,Yes
5,Tue,PM,Cycling,Yes
14,Sun,PM,Yoga,No
6,Wed,PM,Strength,No
4,Tue,AM,Strength,Yes
6,Wed,AM,Yoga,No
14,Sun,AM,Strength,Yes
4,Tue,PM,Strength,No
8,Wed,PM,Strength,No
8,Thu,AM,Yoga,No
15,Sun,PM,HIIT,Yes
10,Fri,AM,Aqua,No
11,Fri,AM,Strength,No
8,Thu,AM,Aqua,No
2,Mon,AM,Aqua,No
2,Mon,PM,Cycling,No
10,Thu,PM,Strength,No
10,Thu,PM,Aqua,No
6,Wed,AM,Strength,No
10,Thu,PM,Cycling,No
5,Tue,PM,Aqua,No
14,Sun,PM,Aqua,No
11,Fri,AM,Cycling,No
7,Wed,PM,Strength,No
9,Fri,PM,Cycling,No
