NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,FinancialDistressNextTwoYears
0,0,0.0,No
0,0,3.0,No
0,0,1.0,No
0,0,2.0,No
1,0,0.0,No
2,0,0.0,No
0,1,0.0,No
0,0,4.0,Yes
0,1,1.0,No
0,0,,No
2,1,3.0,Yes
2,0,3.0,No
0,0,5.0,No
1,0,2.0,No
1,0,1.0,No
0,1,3.0,Yes
0,1,,No
3,2,0.0,Yes
0,3,2.0,No
2,1,5.0,No
5,0,3.0,Yes
1,2,0.0,No
1,0,3.0,Yes
0,0,9.0,No
2,0,2.0,No
3,0,1.0,No
0,3,0.0,Yes
7,0,1.0,Yes
3,0,0.0,No
1,1,0.0,No
1,1,2.0,Yes
3,1,4.0,No
1,2,1.0,Yes
4,0,0.0,Yes
5,2,0.0,No
4,1,3.0,Yes
1,0,,No
1,0,4.0,No
0,1,2.0,No
1,2,3.0,Yes
2,3,0.0,No
1,1,1.0,No
0,5,2.0,No
2,1,2.0,Yes
3,0,2.0,Yes
2,0,1.0,No
1,1,4.0,No
1,1,3.0,No
3,0,3.0,Yes
1,3,2.0,Yes
98,98,,No
4,0,2.0,No
1,2,2.0,Yes
9,1,1.0,Yes
2,1,0.0,No
6,0,2.0,No
2,1,1.0,No
1,0,5.0,No
3,2,1.0,Yes
3,1,0.0,No
5,0,0.0,Yes
2,2,0.0,Yes
2,2,3.0,No
98,98,1.0,Yes
98,98,0.0,No
4,0,4.0,Yes
4,3,2.0,Yes
0,0,7.0,No
1,2,,Yes
98,98,2.0,Yes
4,1,1.0,Yes
1,3,0.0,Yes
0,2,2.0,No
0,2,0.0,No
2,2,1.0,Yes
0,0,6.0,No
2,0,7.0,No
6,0,0.0,Yes
0,2,1.0,Yes
2,0,5.0,No
1,3,4.0,Yes
0,1,4.0,Yes
4,0,1.0,No
0,4,0.0,Yes
1,4,0.0,Yes
5,1,2.0,No
3,3,2.0,No
4,2,0.0,Yes
2,0,,No
4,1,0.0,Yes
0,2,3.0,Yes
1,1,,Yes
