NumTrades90Ever2DerogPubRec,MaxDelq2PublicRecLast12M,MaxDelqEver,RiskPerformance
0,3,5,Bad
0,7,8,Good
0,4,5,Bad
0,6,6,Good
-9,-9,-9,Good
0,5,6,Bad
1,6,4,Good
0,4,6,Bad
4,6,5,Good
0,6,5,Good
1,4,4,Good
1,1,3,Bad
1,4,6,Bad
1,5,6,Bad
7,6,8,Bad
1,0,2,Good
2,4,2,Bad
1,6,6,Bad
0,5,7,Bad
1,4,3,Bad
1,6,3,Good
1,6,8,Good
1,6,5,Bad
5,0,2,Bad
2,6,3,Good
1,2,4,Bad
2,6,6,Bad
3,6,3,Bad
2,6,4,Bad
2,0,5,Bad
3,6,2,Bad
1,6,2,Bad
12,4,2,Bad
1,0,5,Good
1,4,2,Bad
2,6,2,Bad
4,6,4,Bad
2,0,2,Bad
3,6,5,Good
1,7,8,Bad
4,6,2,Bad
6,6,6,Bad
4,0,2,Bad
0,6,7,Good
4,0,5,Bad
5,6,2,Bad
1,0,6,Good
2,4,6,Bad
0,5,5,Bad
2,6,8,Bad
2,6,5,Bad
1,0,8,Bad
2,5,2,Bad
1,5,8,Bad
4,0,8,Good
3,1,3,Bad
1,5,3,Bad
2,4,4,Bad
4,7,8,Bad
2,3,4,Bad
0,6,8,Good
3,3,2,Good
2,3,5,Good
1,4,5,Good
5,4,6,Good
5,6,8,Bad
1,3,2,Bad
6,0,2,Good
3,0,2,Bad
0,5,8,Good
0,6,2,Bad
1,3,5,Bad
1,3,4,Bad
1,5,2,Bad
4,2,3,Bad
2,5,7,Bad
2,0,8,Bad
4,3,3,Bad
3,0,3,Bad
2,5,4,Good
3,0,8,Good
1,5,4,Bad
3,4,4,Bad
3,6,8,Bad
2,5,5,Bad
1,6,7,Good
2,0,3,Bad
1,1,2,Bad
0,4,2,Bad
0,3,2,Good
2,1,3,Bad
16,0,6,Bad
9,5,2,Bad
2,2,4,Bad
1,9,8,Bad
5,6,5,Bad
7,0,6,Bad
6,0,3,Bad
5,0,8,Bad
5,6,3,Bad
10,0,2,Bad
9,0,6,Good
2,4,3,Bad
2,0,4,Bad
4,4,6,Good
3,6,6,Bad
3,0,6,Bad
4,4,2,Bad
5,6,4,Bad
14,6,3,Bad
3,4,2,Bad
7,0,2,Bad
0,7,6,Good
5,4,2,Bad
5,5,2,Bad
9,4,3,Bad
1,5,7,Bad
4,6,3,Bad
3,4,5,Bad
2,3,3,Bad
5,4,5,Bad
2,3,2,Bad
6,6,2,Bad
5,2,4,Good
3,7,8,Bad
1,5,5,Bad
7,6,2,Bad
1,3,3,Bad
4,6,8,Bad
0,5,2,Bad
0,9,8,Bad
7,4,2,Bad
4,6,6,Bad
2,7,8,Bad
3,0,5,Bad
11,6,6,Good
4,1,2,Bad
4,2,4,Bad
2,1,2,Bad
4,0,3,Bad
6,2,2,Bad
4,0,4,Bad
2,5,6,Bad
3,4,3,Bad
7,6,3,Good
3,0,7,Good
19,6,2,Bad
3,6,4,Bad
2,5,3,Bad
9,6,4,Bad
3,5,2,Bad
4,4,3,Good
2,0,6,Bad
3,0,4,Bad
5,6,6,Bad
5,1,2,Bad
5,4,4,Good
4,4,4,Bad
9,4,2,Bad
6,3,3,Bad
2,2,2,Bad
12,0,2,Bad
11,5,2,Bad
3,2,4,Bad
1,7,2,Bad
3,3,5,Bad
8,6,2,Good
8,0,2,Good
7,0,8,Bad
3,4,6,Bad
7,6,6,Good
5,0,6,Bad
10,4,6,Bad
9,0,2,Bad
4,5,2,Bad
4,0,6,Bad
4,1,3,Bad
9,4,4,Bad
1,2,3,Good
5,1,3,Good
3,3,4,Good
16,1,3,Bad
4,4,5,Bad
9,6,2,Bad
