seismic,seismoacoustic,shift,ghazard,nbumps4,nbumps5,HighEnergySeismicBump
b,b,N,b,0,0,No
a,b,W,b,0,0,No
b,a,W,a,0,0,No
b,b,W,b,0,0,No
a,a,W,a,0,0,No
a,a,N,a,0,0,No
a,b,N,a,0,0,No
b,b,W,a,0,0,No
a,b,W,a,0,0,No
b,c,W,b,0,0,No
a,a,W,a,1,0,No
b,b,W,a,1,0,No
a,b,W,a,1,0,No
b,a,W,a,0,1,No
b,a,N,a,0,0,No
a,c,W,b,0,0,Yes
a,b,N,b,0,0,No
b,a,W,a,1,0,No
b,b,N,a,0,0,No
b,a,N,a,1,0,Yes
b,b,W,b,1,0,Yes
a,b,N,b,0,1,No
b,a,W,b,0,0,No
a,c,W,b,1,0,Yes
b,a,W,a,2,0,Yes
a,c,N,c,0,0,No
a,c,W,c,0,0,No
b,b,W,a,2,0,No
a,a,W,a,0,1,No
b,a,N,b,0,0,No
b,c,N,a,0,0,No
b,b,N,c,0,0,No
a,b,W,b,1,0,No
a,a,N,a,1,0,No
a,a,W,a,2,0,No
a,b,N,a,1,0,Yes
b,b,N,a,1,0,No
a,b,W,a,0,1,No
b,b,N,b,1,0,No
a,b,N,a,0,1,No
b,b,W,a,3,0,Yes
a,b,N,c,0,0,No
b,c,W,a,1,0,No
b,b,W,c,0,0,No
a,a,N,b,0,0,No
b,c,W,a,0,0,No
a,c,W,a,0,0,No
a,c,N,a,0,0,No
b,a,N,a,0,1,No
b,a,W,a,3,0,No
b,b,N,a,0,1,No
a,a,W,b,0,0,No
b,b,W,b,0,1,Yes
