android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.INTERNET,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.AUTHENTICATE_ACCOUNTS,com.htc.launcher.permission.READ_SETTINGS,android.permission.ACCESS_WIFI_STATE,android.permission.FLASHLIGHT,android.permission.PROCESS_INCOMING_CALLS,Malware
1,1,0,0,0,0,1,0,0,Yes
0,1,0,0,0,0,1,0,0,Yes
0,1,0,0,0,0,0,0,0,Yes
0,0,0,0,0,0,0,0,0,No
1,1,1,0,0,0,1,0,0,Yes
0,1,1,0,0,0,1,0,0,No
0,1,0,0,1,0,1,0,0,No
0,1,0,1,0,1,1,0,0,No
0,1,0,0,0,0,0,1,0,Yes
0,1,0,0,0,0,1,1,0,Yes
0,1,1,0,0,0,0,0,0,Yes
1,1,0,0,0,0,0,0,0,Yes
0,1,1,0,0,0,0,1,0,Yes
0,1,0,1,0,1,0,0,0,No
1,1,1,0,0,1,1,1,0,Yes
1,1,0,0,0,1,1,0,0,Yes
0,1,1,0,0,1,1,1,0,No
0,1,0,0,1,0,0,0,0,No
0,1,1,0,0,1,1,0,0,Yes
1,1,0,1,0,1,1,1,0,No
0,1,1,0,0,0,1,1,0,No
1,1,0,0,0,0,1,1,0,No
1,1,0,1,0,1,1,0,0,No
1,1,1,0,1,1,1,1,0,No
1,1,0,0,0,0,1,0,1,Yes
1,1,1,0,1,0,1,1,0,No
0,1,0,1,0,1,1,1,0,No
0,1,0,0,0,1,1,0,0,Yes
0,1,0,0,0,1,0,0,0,No
1,1,1,0,0,1,1,0,0,Yes
1,1,1,0,1,0,1,0,0,Yes
0,1,0,1,1,1,1,1,0,No
1,1,1,0,0,0,1,1,0,No
0,0,0,0,0,0,1,0,0,No
0,0,0,0,0,0,0,1,0,No
0,1,0,0,1,0,1,0,1,Yes
1,1,0,0,1,0,1,1,0,No
0,1,0,1,0,1,0,1,0,No
0,1,0,0,0,1,1,1,0,No
0,1,1,0,1,0,1,0,0,No
1,1,0,0,0,1,1,1,0,Yes
1,1,0,0,1,1,1,1,0,No
0,1,1,0,1,1,1,1,0,No
0,1,0,1,1,1,1,0,0,No
0,1,1,1,0,1,1,0,0,No
1,1,0,0,0,0,0,1,0,Yes
1,1,0,0,1,0,1,0,0,No
0,1,0,0,1,0,1,1,0,No
1,1,1,1,0,1,1,1,0,No
1,1,1,0,0,0,0,0,0,No
0,1,0,0,0,0,1,1,1,No
1,1,0,1,0,1,0,0,0,No
0,1,1,0,0,0,1,0,1,No
1,1,0,0,1,0,0,1,0,No
1,1,0,0,1,0,0,0,0,No
1,1,0,1,0,1,0,1,0,No
0,1,1,1,1,1,1,1,0,No
0,1,1,1,0,1,1,1,0,No
0,1,1,0,1,0,1,1,0,Yes
0,1,0,0,1,0,0,1,0,No
0,1,1,0,1,1,1,0,0,No
0,1,0,0,1,1,1,0,0,No
0,1,0,1,1,1,0,0,0,No
0,1,0,0,1,1,0,0,0,No
0,0,1,0,0,0,0,0,0,No
0,1,0,0,0,0,1,0,1,No
0,1,1,1,1,1,1,0,0,No
1,1,0,0,0,1,0,0,0,No
1,1,1,1,0,1,1,0,0,No
