,job,marital,education,housing,loan,contact,poutcome,SubscribeTermDeposit no,SubscribeTermDeposit yes
0,admin.,divorced,primary,no,no,cellular,unknown,no,
1,admin.,divorced,primary,no,no,unknown,unknown,no,
2,admin.,divorced,primary,no,yes,cellular,unknown,no,
3,admin.,divorced,primary,yes,no,cellular,failure,no,
4,admin.,divorced,primary,yes,no,cellular,other,no,
5,admin.,divorced,primary,yes,no,cellular,success,yes,
6,admin.,divorced,primary,yes,no,cellular,unknown,no,
7,admin.,divorced,primary,yes,no,telephone,unknown,yes,
8,admin.,divorced,primary,yes,no,unknown,unknown,no,
9,admin.,divorced,primary,yes,yes,cellular,unknown,no,
10,admin.,divorced,primary,yes,yes,unknown,unknown,no,
11,admin.,divorced,secondary,no,no,cellular,failure,yes,
12,admin.,divorced,secondary,no,no,cellular,other,no,no
13,admin.,divorced,secondary,no,no,cellular,success,no,
14,admin.,divorced,secondary,no,no,cellular,unknown,no,no
15,admin.,divorced,secondary,no,no,telephone,failure,no,
16,admin.,divorced,secondary,no,no,telephone,success,yes,
17,admin.,divorced,secondary,no,no,telephone,unknown,yes,
18,admin.,divorced,secondary,no,no,unknown,unknown,no,no
19,admin.,divorced,secondary,no,yes,cellular,failure,no,
20,admin.,divorced,secondary,no,yes,cellular,other,no,
21,admin.,divorced,secondary,no,yes,cellular,success,yes,
22,admin.,divorced,secondary,no,yes,cellular,unknown,no,no
23,admin.,divorced,secondary,no,yes,telephone,unknown,no,
24,admin.,divorced,secondary,no,yes,unknown,unknown,no,
25,admin.,divorced,secondary,yes,no,cellular,failure,no,no
26,admin.,divorced,secondary,yes,no,cellular,other,no,
27,admin.,divorced,secondary,yes,no,cellular,success,no,
28,admin.,divorced,secondary,yes,no,cellular,unknown,no,no
29,admin.,divorced,secondary,yes,no,telephone,failure,no,
30,admin.,divorced,secondary,yes,no,telephone,other,no,
31,admin.,divorced,secondary,yes,no,telephone,unknown,no,
32,admin.,divorced,secondary,yes,no,unknown,unknown,no,no
33,admin.,divorced,secondary,yes,yes,cellular,failure,no,no
34,admin.,divorced,secondary,yes,yes,cellular,other,yes,no
35,admin.,divorced,secondary,yes,yes,cellular,success,no,
36,admin.,divorced,secondary,yes,yes,cellular,unknown,no,
37,admin.,divorced,secondary,yes,yes,telephone,success,yes,
38,admin.,divorced,secondary,yes,yes,telephone,unknown,yes,
39,admin.,divorced,secondary,yes,yes,unknown,unknown,no,no
40,admin.,divorced,tertiary,no,no,cellular,failure,no,
41,admin.,divorced,tertiary,no,no,cellular,other,no,
42,admin.,divorced,tertiary,no,no,cellular,success,yes,
43,admin.,divorced,tertiary,no,no,cellular,unknown,no,
44,admin.,divorced,tertiary,no,yes,cellular,unknown,no,yes
45,admin.,divorced,tertiary,yes,no,cellular,failure,no,
46,admin.,divorced,tertiary,yes,no,cellular,other,no,
47,admin.,divorced,tertiary,yes,no,cellular,unknown,yes,
48,admin.,divorced,tertiary,yes,no,unknown,unknown,no,
49,admin.,divorced,tertiary,yes,yes,cellular,failure,no,
50,admin.,divorced,tertiary,yes,yes,cellular,other,no,
51,admin.,divorced,tertiary,yes,yes,cellular,unknown,no,
52,admin.,divorced,tertiary,yes,yes,unknown,unknown,no,
53,admin.,divorced,unknown,no,no,cellular,unknown,no,
54,admin.,divorced,unknown,no,no,telephone,unknown,no,
55,admin.,divorced,unknown,no,no,unknown,unknown,no,
56,admin.,divorced,unknown,yes,no,cellular,failure,no,
57,admin.,divorced,unknown,yes,no,cellular,unknown,no,
58,admin.,divorced,unknown,yes,no,telephone,unknown,no,
59,admin.,divorced,unknown,yes,no,unknown,unknown,no,
60,admin.,married,primary,no,no,cellular,failure,no,
61,admin.,married,primary,no,no,cellular,other,no,
62,admin.,married,primary,no,no,cellular,unknown,no,
63,admin.,married,primary,no,no,telephone,unknown,no,
64,admin.,married,primary,no,no,unknown,unknown,no,
65,admin.,married,primary,no,yes,cellular,unknown,no,
66,admin.,married,primary,no,yes,telephone,unknown,no,
67,admin.,married,primary,no,yes,unknown,unknown,no,
68,admin.,married,primary,yes,no,cellular,failure,no,
69,admin.,married,primary,yes,no,cellular,other,no,
70,admin.,married,primary,yes,no,cellular,success,yes,
71,admin.,married,primary,yes,no,cellular,unknown,no,
