,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Product_importance,ArrivedLate F,ArrivedLate M
0,A,Flight,2,1,2,low,,Yes
1,A,Flight,2,1,5,low,No,
2,A,Flight,2,2,3,low,,Yes
3,A,Flight,2,2,4,high,,No
4,A,Flight,2,2,4,low,,Yes
5,A,Flight,2,2,5,low,,No
6,A,Flight,2,2,6,low,Yes,
7,A,Flight,2,3,3,medium,,No
8,A,Flight,2,4,3,medium,,Yes
9,A,Flight,2,4,4,low,No,
10,A,Flight,2,5,2,low,Yes,Yes
11,A,Flight,2,5,3,high,,No
12,A,Flight,2,5,3,low,,No
13,A,Flight,2,5,3,medium,No,
14,A,Flight,3,1,2,high,,Yes
15,A,Flight,3,1,2,low,Yes,Yes
16,A,Flight,3,1,2,medium,Yes,
17,A,Flight,3,1,3,high,Yes,
18,A,Flight,3,1,3,low,No,No
19,A,Flight,3,1,3,medium,Yes,Yes
20,A,Flight,3,1,4,low,Yes,No
21,A,Flight,3,1,5,low,Yes,
22,A,Flight,3,2,2,medium,Yes,No
23,A,Flight,3,2,3,high,,Yes
24,A,Flight,3,2,3,low,,No
25,A,Flight,3,2,3,medium,Yes,Yes
26,A,Flight,3,2,4,medium,,No
27,A,Flight,3,3,2,high,Yes,
28,A,Flight,3,3,2,medium,Yes,Yes
29,A,Flight,3,3,3,low,,Yes
30,A,Flight,3,3,3,medium,Yes,Yes
31,A,Flight,3,3,4,high,,Yes
32,A,Flight,3,3,4,medium,Yes,
33,A,Flight,3,3,6,low,Yes,
34,A,Flight,3,4,2,low,No,No
35,A,Flight,3,4,3,low,Yes,Yes
36,A,Flight,3,4,3,medium,Yes,Yes
37,A,Flight,3,4,4,high,,No
38,A,Flight,3,4,4,low,,Yes
39,A,Flight,3,4,4,medium,,No
40,A,Flight,3,4,6,low,No,
41,A,Flight,3,5,2,low,Yes,
42,A,Flight,3,5,2,medium,,Yes
43,A,Flight,3,5,3,high,Yes,
44,A,Flight,3,5,3,low,Yes,Yes
45,A,Flight,3,5,3,medium,Yes,Yes
46,A,Flight,3,5,4,high,Yes,
47,A,Flight,3,5,5,high,No,
48,A,Flight,3,5,7,medium,,Yes
49,A,Flight,3,5,8,high,,Yes
50,A,Flight,3,5,10,low,,No
51,A,Flight,3,5,10,medium,,Yes
52,A,Flight,4,1,2,low,No,Yes
53,A,Flight,4,1,2,medium,No,
54,A,Flight,4,1,3,high,,No
55,A,Flight,4,1,3,low,No,Yes
56,A,Flight,4,1,3,medium,Yes,No
57,A,Flight,4,1,4,low,Yes,No
58,A,Flight,4,1,5,low,,No
59,A,Flight,4,1,5,medium,,Yes
60,A,Flight,4,1,7,high,Yes,
61,A,Flight,4,1,8,medium,,Yes
62,A,Flight,4,2,2,low,Yes,Yes
63,A,Flight,4,2,2,medium,Yes,No
64,A,Flight,4,2,3,low,Yes,Yes
65,A,Flight,4,2,3,medium,No,No
66,A,Flight,4,2,4,medium,No,
67,A,Flight,4,2,5,low,No,
68,A,Flight,4,2,5,medium,No,No
69,A,Flight,4,2,6,low,No,
70,A,Flight,4,3,2,low,Yes,No
71,A,Flight,4,3,2,medium,No,
72,A,Flight,4,3,3,low,Yes,Yes
73,A,Flight,4,3,3,medium,Yes,Yes
74,A,Flight,4,3,4,low,,No
75,A,Flight,4,3,5,high,No,
76,A,Flight,4,3,5,low,,Yes
77,A,Flight,4,3,6,low,,Yes
78,A,Flight,4,3,6,medium,,Yes
79,A,Flight,4,3,10,high,Yes,
80,A,Flight,4,4,2,low,,No
81,A,Flight,4,4,3,high,Yes,Yes
82,A,Flight,4,4,3,low,,Yes
83,A,Flight,4,4,3,medium,Yes,Yes
84,A,Flight,4,4,4,low,,No
85,A,Flight,4,4,4,medium,No,Yes
86,A,Flight,4,4,5,low,,Yes
87,A,Flight,4,4,5,medium,No,Yes
88,A,Flight,4,4,6,low,,No
89,A,Flight,4,4,6,medium,Yes,
90,A,Flight,4,5,2,high,,No
91,A,Flight,4,5,2,low,No,
92,A,Flight,4,5,2,medium,Yes,Yes
93,A,Flight,4,5,3,low,No,No
94,A,Flight,4,5,3,medium,No,Yes
95,A,Flight,4,5,5,low,No,No
96,A,Flight,4,5,5,medium,Yes,
97,A,Flight,5,1,2,high,,No
98,A,Flight,5,1,2,medium,No,
99,A,Flight,5,1,3,high,,Yes
100,A,Flight,5,1,3,medium,,Yes
101,A,Flight,5,1,5,high,No,
102,A,Flight,5,1,5,low,No,No
103,A,Flight,5,1,5,medium,No,
104,A,Flight,5,1,10,medium,No,
105,A,Flight,5,2,2,high,Yes,
106,A,Flight,5,2,2,low,No,
107,A,Flight,5,2,2,medium,,Yes
108,A,Flight,5,2,3,low,Yes,
109,A,Flight,5,2,3,medium,Yes,No
110,A,Flight,5,2,4,low,,Yes
111,A,Flight,5,2,4,medium,Yes,Yes
112,A,Flight,5,2,5,low,Yes,
113,A,Flight,5,2,7,medium,Yes,
114,A,Flight,5,2,8,high,,Yes
115,A,Flight,5,3,2,low,,No
116,A,Flight,5,3,2,medium,,Yes
117,A,Flight,5,3,3,low,,No
118,A,Flight,5,3,4,low,Yes,
119,A,Flight,5,3,4,medium,Yes,Yes
120,A,Flight,5,3,5,low,Yes,No
121,A,Flight,5,3,6,medium,Yes,
122,A,Flight,5,4,2,low,Yes,Yes
123,A,Flight,5,4,2,medium,Yes,No
124,A,Flight,5,4,3,high,Yes,
125,A,Flight,5,4,3,low,Yes,Yes
126,A,Flight,5,4,3,medium,No,
127,A,Flight,5,4,4,low,,No
128,A,Flight,5,4,4,medium,,No
129,A,Flight,5,4,5,high,No,
130,A,Flight,5,4,5,low,,Yes
131,A,Flight,5,4,5,medium,Yes,
132,A,Flight,5,5,2,high,Yes,No
133,A,Flight,5,5,2,low,,Yes
134,A,Flight,5,5,3,low,Yes,Yes
135,A,Flight,5,5,3,medium,No,No
136,A,Flight,5,5,4,low,,Yes
137,A,Flight,5,5,5,low,,No
138,A,Flight,5,5,5,medium,,Yes
139,A,Flight,5,5,6,medium,Yes,
140,A,Flight,6,1,4,medium,Yes,
141,A,Flight,6,1,5,low,Yes,
142,A,Flight,6,1,6,low,,Yes
143,A,Flight,6,2,2,low,,Yes
144,A,Flight,6,2,4,high,,Yes
145,A,Flight,6,2,4,low,No,
146,A,Flight,6,2,4,medium,No,
147,A,Flight,6,2,5,low,,No
148,A,Flight,6,2,5,medium,Yes,
149,A,Flight,6,2,6,low,,Yes
150,A,Flight,6,3,4,low,No,Yes
151,A,Flight,6,3,4,medium,No,
152,A,Flight,6,3,5,medium,,No
153,A,Flight,6,3,6,low,No,
154,A,Flight,6,3,8,medium,,No
155,A,Flight,6,4,3,medium,,Yes
156,A,Flight,6,4,4,low,Yes,Yes
157,A,Flight,6,4,5,medium,,Yes
158,A,Flight,6,5,4,low,,No
159,A,Flight,6,5,5,high,,No
160,A,Flight,7,1,4,low,,No
161,A,Flight,7,1,4,medium,,Yes
162,A,Flight,7,1,5,medium,,Yes
163,A,Flight,7,2,4,low,Yes,Yes
164,A,Flight,7,2,4,medium,,No
165,A,Flight,7,4,4,medium,Yes,
166,A,Flight,7,5,4,low,Yes,Yes
167,A,Road,2,1,2,low,,No
168,A,Road,2,1,3,high,,Yes
169,A,Road,2,1,3,low,Yes,
170,A,Road,2,1,5,low,Yes,
171,A,Road,2,2,3,low,Yes,No
172,A,Road,2,2,3,medium,Yes,
173,A,Road,2,2,4,medium,,No
174,A,Road,2,3,3,low,Yes,No
175,A,Road,2,3,4,high,Yes,
176,A,Road,2,3,4,low,Yes,
177,A,Road,2,4,3,low,,Yes
178,A,Road,2,4,4,low,Yes,
179,A,Road,2,4,5,low,,Yes
180,A,Road,2,5,2,high,,No
181,A,Road,2,5,3,low,Yes,
182,A,Road,3,1,2,high,Yes,
183,A,Road,3,1,2,low,No,Yes
184,A,Road,3,1,2,medium,Yes,Yes
185,A,Road,3,1,3,high,Yes,Yes
186,A,Road,3,1,3,low,No,Yes
187,A,Road,3,1,3,medium,Yes,No
188,A,Road,3,1,4,low,Yes,Yes
189,A,Road,3,1,4,medium,Yes,Yes
190,A,Road,3,1,5,low,No,No
191,A,Road,3,1,8,low,Yes,
192,A,Road,3,1,10,medium,No,
193,A,Road,3,2,2,high,Yes,Yes
194,A,Road,3,2,2,low,,No
195,A,Road,3,2,3,low,No,
196,A,Road,3,2,3,medium,,Yes
197,A,Road,3,2,4,medium,Yes,
198,A,Road,3,2,5,medium,,No
199,A,Road,3,2,6,medium,,Yes
200,A,Road,3,3,2,low,Yes,
201,A,Road,3,3,2,medium,Yes,
202,A,Road,3,3,3,high,,Yes
203,A,Road,3,3,3,low,Yes,Yes
204,A,Road,3,3,3,medium,,Yes
205,A,Road,3,3,4,low,Yes,
206,A,Road,3,3,4,medium,Yes,No
207,A,Road,3,3,5,medium,,No
208,A,Road,3,4,2,high,,Yes
209,A,Road,3,4,2,low,,No
210,A,Road,3,4,3,high,,Yes
211,A,Road,3,4,3,low,No,Yes
212,A,Road,3,4,3,medium,Yes,No
213,A,Road,3,4,4,medium,No,
214,A,Road,3,4,5,low,Yes,
215,A,Road,3,4,5,medium,,No
216,A,Road,3,5,2,high,,Yes
217,A,Road,3,5,2,low,,No
218,A,Road,3,5,2,medium,,Yes
219,A,Road,3,5,3,low,Yes,
220,A,Road,3,5,3,medium,No,
221,A,Road,3,5,4,low,Yes,
222,A,Road,3,5,8,low,,Yes
223,A,Road,4,1,2,low,Yes,Yes
224,A,Road,4,1,2,medium,,Yes
225,A,Road,4,1,3,high,,Yes
226,A,Road,4,1,3,low,No,Yes
227,A,Road,4,1,3,medium,Yes,
228,A,Road,4,1,4,high,,Yes
229,A,Road,4,1,4,low,,No
230,A,Road,4,1,4,medium,,Yes
231,A,Road,4,1,5,low,No,No
232,A,Road,4,1,5,medium,No,
233,A,Road,4,1,6,low,Yes,No
234,A,Road,4,1,10,medium,Yes,
235,A,Road,4,2,2,low,,No
236,A,Road,4,2,3,low,Yes,No
237,A,Road,4,2,3,medium,Yes,No
238,A,Road,4,2,4,low,,No
239,A,Road,4,2,5,medium,,No
240,A,Road,4,2,7,medium,No,
241,A,Road,4,2,8,low,,Yes
242,A,Road,4,3,2,low,No,No
243,A,Road,4,3,2,medium,Yes,Yes
244,A,Road,4,3,3,high,No,
245,A,Road,4,3,3,low,,Yes
246,A,Road,4,3,3,medium,No,Yes
247,A,Road,4,3,4,low,No,
248,A,Road,4,3,4,medium,No,
249,A,Road,4,3,6,low,No,
250,A,Road,4,3,10,high,,No
251,A,Road,4,4,2,low,No,No
252,A,Road,4,4,3,high,Yes,
253,A,Road,4,4,3,low,Yes,Yes
254,A,Road,4,4,3,medium,No,No
255,A,Road,4,4,4,medium,Yes,Yes
256,A,Road,4,4,5,medium,Yes,
257,A,Road,4,4,6,low,Yes,
258,A,Road,4,4,6,medium,No,
259,A,Road,4,5,2,low,,Yes
260,A,Road,4,5,2,medium,No,
261,A,Road,4,5,3,low,Yes,No
262,A,Road,4,5,3,medium,No,Yes
263,A,Road,4,5,4,high,Yes,
264,A,Road,4,5,4,low,,No
265,A,Road,4,5,4,medium,,Yes
266,A,Road,4,5,5,high,,Yes
267,A,Road,4,5,5,low,No,
268,A,Road,4,5,5,medium,Yes,
269,A,Road,4,5,8,medium,,No
270,A,Road,4,5,10,medium,Yes,
271,A,Road,5,1,2,low,,No
272,A,Road,5,1,2,medium,,No
273,A,Road,5,1,3,low,Yes,Yes
274,A,Road,5,1,3,medium,No,
275,A,Road,5,1,4,medium,Yes,No
276,A,Road,5,1,5,low,No,No
277,A,Road,5,1,5,medium,No,No
278,A,Road,5,1,10,medium,Yes,
279,A,Road,5,2,2,low,,No
280,A,Road,5,2,2,medium,Yes,No
281,A,Road,5,2,3,low,Yes,Yes
282,A,Road,5,2,3,medium,,Yes
283,A,Road,5,2,4,medium,,Yes
284,A,Road,5,2,5,low,,No
285,A,Road,5,2,5,medium,,No
286,A,Road,5,2,6,medium,No,Yes
287,A,Road,5,2,7,low,Yes,
288,A,Road,5,2,8,medium,Yes,
289,A,Road,5,3,2,low,Yes,Yes
290,A,Road,5,3,2,medium,,Yes
291,A,Road,5,3,3,low,No,
292,A,Road,5,3,3,medium,No,Yes
293,A,Road,5,3,4,medium,Yes,
294,A,Road,5,3,5,low,Yes,No
295,A,Road,5,3,6,medium,No,
296,A,Road,5,3,10,medium,,Yes
297,A,Road,5,4,2,medium,Yes,
298,A,Road,5,4,3,low,Yes,Yes
299,A,Road,5,4,4,low,,Yes
300,A,Road,5,4,5,low,No,Yes
301,A,Road,5,4,6,medium,No,
302,A,Road,5,5,2,medium,Yes,No
303,A,Road,5,5,3,medium,Yes,
304,A,Road,5,5,4,high,Yes,
305,A,Road,5,5,4,low,,No
306,A,Road,5,5,5,low,No,
307,A,Road,5,5,6,low,No,
308,A,Road,6,1,4,low,,No
309,A,Road,6,1,4,medium,,No
310,A,Road,6,1,5,low,Yes,
311,A,Road,6,1,6,medium,,Yes
312,A,Road,6,2,4,low,No,No
313,A,Road,6,2,4,medium,,No
314,A,Road,6,2,5,medium,,Yes
315,A,Road,6,2,6,medium,,No
316,A,Road,6,3,2,medium,,No
317,A,Road,6,3,3,medium,Yes,Yes
318,A,Road,6,3,4,medium,Yes,
319,A,Road,6,3,5,high,,Yes
320,A,Road,6,3,6,high,Yes,
321,A,Road,6,4,2,low,,Yes
322,A,Road,6,4,4,low,,No
323,A,Road,6,4,4,medium,No,No
324,A,Road,6,4,5,low,,No
325,A,Road,6,5,3,low,Yes,
326,A,Road,6,5,4,high,,Yes
327,A,Road,6,5,4,low,Yes,Yes
328,A,Road,6,5,5,medium,,No
329,A,Road,7,1,4,medium,No,No
330,A,Road,7,2,4,medium,,No
331,A,Ship,2,1,2,high,Yes,Yes
332,A,Ship,2,1,2,low,Yes,
333,A,Ship,2,1,2,medium,No,Yes
334,A,Ship,2,1,3,low,No,Yes
335,A,Ship,2,1,3,medium,Yes,
336,A,Ship,2,1,5,medium,,No
337,A,Ship,2,1,7,low,,Yes
338,A,Ship,2,2,2,high,,No
339,A,Ship,2,2,2,low,Yes,Yes
340,A,Ship,2,2,2,medium,Yes,No
341,A,Ship,2,2,3,low,Yes,No
342,A,Ship,2,2,4,low,Yes,
343,A,Ship,2,2,6,medium,Yes,
344,A,Ship,2,2,8,medium,,Yes
345,A,Ship,2,3,2,low,,Yes
346,A,Ship,2,3,2,medium,Yes,Yes
347,A,Ship,2,3,3,low,Yes,Yes
348,A,Ship,2,3,3,medium,Yes,
349,A,Ship,2,3,4,low,Yes,
350,A,Ship,2,3,4,medium,Yes,No
351,A,Ship,2,3,5,low,,No
352,A,Ship,2,3,8,medium,,Yes
353,A,Ship,2,4,2,low,No,
354,A,Ship,2,4,2,medium,No,
355,A,Ship,2,4,3,low,,Yes
