,days_before,day_of_week,category,attended AM,attended PM
0,1,Mon,Aqua,,No
1,1,Mon,Cycling,,Yes
2,1,Mon,HIIT,,Yes
3,2,Mon,-,No,
4,2,Mon,Aqua,No,Yes
5,2,Mon,Cycling,No,No
6,2,Mon,HIIT,No,No
7,2,Mon,Strength,Yes,No
8,2,Mon,Yoga,No,
9,3,Mon,Aqua,Yes,
10,3,Mon,Cycling,No,
11,3,Mon,HIIT,No,No
12,3,Mon,Strength,No,No
13,3,Mon,Yoga,No,
14,3,Tue,Cycling,,No
15,3,Tue,HIIT,,No
16,3,Tue,Strength,,No
17,4,Mon,HIIT,,No
18,4,Tue,-,,No
19,4,Tue,Aqua,No,No
20,4,Tue,Cycling,Yes,No
21,4,Tue,HIIT,Yes,No
22,4,Tue,Strength,Yes,No
23,4,Tue,Yoga,No,No
24,5,Tue,Aqua,Yes,No
25,5,Tue,Cycling,,Yes
26,5,Tue,HIIT,,Yes
27,5,Tue,Strength,,No
28,5,Tue,Yoga,,No
29,5,Wed,Aqua,,No
30,5,Wed,Cycling,,No
31,5,Wed,HIIT,,No
32,5,Wed,Yoga,,No
33,6,Tue,Cycling,,No
34,6,Tue,Strength,,No
35,6,Wed,Aqua,No,No
36,6,Wed,Cycling,No,No
37,6,Wed,HIIT,Yes,No
38,6,Wed,Strength,No,No
39,6,Wed,Yoga,No,
40,7,Thu,Aqua,,No
41,7,Thu,Cycling,,No
42,7,Thu,HIIT,,Yes
43,7,Thu,Strength,,No
44,7,Thu,Yoga,,Yes
45,7,Tue,Strength,,No
46,7,Wed,Cycling,No,Yes
47,7,Wed,HIIT,No,No
48,7,Wed,Strength,,No
49,7,Wed,Yoga,,No
50,8,Mon,HIIT,,No
51,8,Thu,-,No,
52,8,Thu,Aqua,No,Yes
53,8,Thu,Cycling,No,No
54,8,Thu,HIIT,No,Yes
55,8,Thu,Strength,Yes,No
56,8,Thu,Yoga,No,No
57,8,Wed,HIIT,,No
58,8,Wed,Strength,,No
59,9,Fri,Cycling,,No
60,9,Fri,HIIT,,Yes
61,9,Fri,Strength,,No
62,9,Thu,Aqua,,Yes
63,9,Thu,Cycling,Yes,Yes
64,9,Thu,HIIT,Yes,Yes
65,9,Thu,Yoga,No,No
66,9,Tue,HIIT,,No
67,9,Wed,HIIT,,No
68,10,Fri,-,No,
69,10,Fri,Aqua,No,
70,10,Fri,Cycling,No,
71,10,Fri,HIIT,Yes,Yes
72,10,Fri,Strength,No,
73,10,Fri,Yoga,Yes,No
74,10,Thu,Aqua,,No
75,10,Thu,Cycling,,No
76,10,Thu,HIIT,,No
77,10,Thu,Strength,,No
78,10,Wed,Cycling,,No
79,10,Wed,HIIT,,No
80,11,Fri,Aqua,Yes,
81,11,Fri,Cycling,No,
82,11,Fri,HIIT,No,
83,11,Fri,Strength,No,
84,11,Fri,Yoga,No,No
85,11,Sat,Cycling,,No
86,11,Sat,HIIT,,Yes
87,11,Sat,Strength,,No
88,11,Sat,Yoga,,No
89,11,Thu,Cycling,,No
90,11,Thu,Yoga,,No
91,11,Wed,HIIT,,No
92,12,Fri,Cycling,,No
93,12,Fri,HIIT,,No
94,12,Fri,Yoga,,No
95,12,Sat,-,No,
96,12,Sat,Aqua,No,No
97,12,Sat,Cycling,Yes,No
98,12,Sat,HIIT,No,No
99,12,Sat,Strength,No,No
100,12,Sat,Yoga,Yes,
101,12,Thu,Cycling,,No
102,12,Thu,Yoga,,No
103,12,Wed,HIIT,,No
104,13,Sat,Cycling,Yes,No
105,13,Sat,HIIT,No,Yes
106,13,Sat,Strength,No,No
107,13,Sat,Yoga,No,
108,13,Sun,Cycling,,Yes
109,13,Sun,HIIT,,No
110,13,Sun,Strength,,No
111,13,Wed,Cycling,,No
112,14,Sat,HIIT,,No
113,14,Sun,-,Yes,
114,14,Sun,Aqua,No,No
115,14,Sun,Cycling,No,Yes
116,14,Sun,HIIT,No,No
117,14,Sun,Strength,Yes,Yes
118,14,Sun,Yoga,Yes,No
119,15,Fri,Strength,,Yes
120,15,Sun,Aqua,,Yes
121,15,Sun,Cycling,No,Yes
122,15,Sun,HIIT,Yes,Yes
123,15,Sun,Strength,Yes,
124,15,Sun,Yoga,No,No
125,15,Thu,HIIT,,No
126,16,Sun,HIIT,,No
127,16,Sun,Yoga,,No
128,17,Sun,Aqua,,No
129,17,Sun,HIIT,,Yes
130,20,Sun,HIIT,,Yes
131,29,Sun,Strength,,No
