,FCFP6_1024_343,FCFP6_1024_344,FCFP6_1024_345,FCFP6_1024_346,FCFP6_1024_347,FCFP6_1024_348,FCFP6_1024_349,FCFP6_1024_1023,MEDIAN_PXC50 0,MEDIAN_PXC50 1
0,0,0,0,0,0,0,0,0,5.284,5.301
1,0,0,0,0,0,0,0,1,5.027,
2,0,0,0,0,0,0,1,0,5.201,
3,0,0,0,0,0,1,0,0,10.046,
4,0,0,0,0,1,0,0,0,7.921,6.0
5,0,0,0,0,1,0,1,0,7.921,
6,0,0,0,0,1,1,0,0,6.141,
7,0,0,0,1,0,0,0,0,5.0,5.928
8,0,0,0,1,0,0,0,1,5.699,
9,0,0,0,1,0,0,1,0,7.699,
10,0,0,0,1,0,1,0,0,5.194,
11,0,0,0,1,1,0,0,0,7.824,5.155
12,0,0,0,1,1,0,0,1,5.347,
13,0,0,0,1,1,1,0,0,6.788,
14,0,0,1,0,0,0,0,0,6.283,4.301
15,0,0,1,0,0,1,0,0,4.301,
16,0,0,1,0,1,0,0,0,5.456,
17,0,0,1,1,0,0,0,0,6.236,7.638
18,0,0,1,1,0,1,0,0,4.271,
19,0,0,1,1,1,0,0,0,5.222,
20,0,1,0,0,0,0,0,0,9.553,5.301
21,0,1,0,0,0,0,0,1,7.481,
22,0,1,0,0,0,0,1,0,5.409,
23,0,1,0,0,0,1,0,0,9.77,
24,0,1,0,0,1,0,0,0,7.569,
25,0,1,0,1,0,0,0,0,5.301,
26,0,1,0,1,0,0,0,1,5.167,
27,0,1,0,1,1,0,0,0,5.745,
28,0,1,1,0,0,0,0,0,9.481,
29,0,1,1,1,0,0,0,0,8.194,
30,1,0,0,0,0,0,0,0,7.481,5.301
31,1,0,0,0,0,0,0,1,,4.325
32,1,0,0,0,0,0,1,0,4.0,
33,1,0,0,0,0,1,0,0,4.301,
34,1,0,0,0,1,0,0,0,8.009,
35,1,0,0,1,0,0,0,0,5.699,
36,1,0,0,1,0,0,1,0,4.441,
37,1,0,0,1,1,0,0,0,5.149,
38,1,0,1,0,0,0,0,0,8.495,
39,1,0,1,1,0,0,0,0,5.757,
40,1,0,1,1,0,0,0,1,4.708,
41,1,1,0,0,0,0,0,0,7.377,5.301
42,1,1,0,0,1,0,0,0,7.699,
43,1,1,0,1,0,0,0,0,6.469,
