,android.permission.INTERNET,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.AUTHENTICATE_ACCOUNTS,com.htc.launcher.permission.READ_SETTINGS,android.permission.ACCESS_WIFI_STATE,android.permission.FLASHLIGHT,android.permission.PROCESS_INCOMING_CALLS,Malware 0,Malware 1
0,0,0,0,0,0,0,0,0,No,
1,0,0,0,0,0,0,1,0,No,
2,0,0,0,0,0,1,0,0,No,
3,0,1,0,0,0,0,0,0,No,
4,1,0,0,0,0,0,0,0,Yes,Yes
5,1,0,0,0,0,0,1,0,Yes,Yes
6,1,0,0,0,0,1,0,0,Yes,Yes
7,1,0,0,0,0,1,0,1,No,Yes
8,1,0,0,0,0,1,1,0,Yes,No
9,1,0,0,0,0,1,1,1,No,
10,1,0,0,0,1,0,0,0,No,No
11,1,0,0,0,1,1,0,0,Yes,Yes
12,1,0,0,0,1,1,1,0,No,Yes
13,1,0,0,1,0,0,0,0,No,No
14,1,0,0,1,0,0,1,0,No,No
15,1,0,0,1,0,1,0,0,No,No
16,1,0,0,1,0,1,0,1,Yes,
17,1,0,0,1,0,1,1,0,No,No
18,1,0,0,1,1,0,0,0,No,
19,1,0,0,1,1,1,0,0,No,
20,1,0,0,1,1,1,1,0,,No
21,1,0,1,0,1,0,0,0,No,No
22,1,0,1,0,1,0,1,0,No,No
23,1,0,1,0,1,1,0,0,No,No
24,1,0,1,0,1,1,1,0,No,No
25,1,0,1,1,1,0,0,0,No,
26,1,0,1,1,1,1,0,0,No,
27,1,0,1,1,1,1,1,0,No,
28,1,1,0,0,0,0,0,0,Yes,No
29,1,1,0,0,0,0,1,0,Yes,
30,1,1,0,0,0,1,0,0,No,Yes
31,1,1,0,0,0,1,0,1,No,
32,1,1,0,0,0,1,1,0,No,No
33,1,1,0,0,1,1,0,0,Yes,Yes
34,1,1,0,0,1,1,1,0,No,Yes
35,1,1,0,1,0,1,0,0,No,Yes
36,1,1,0,1,0,1,1,0,Yes,No
37,1,1,0,1,1,1,0,0,No,
38,1,1,0,1,1,1,1,0,No,No
39,1,1,1,0,1,1,0,0,No,No
40,1,1,1,0,1,1,1,0,No,No
41,1,1,1,1,1,1,0,0,No,
42,1,1,1,1,1,1,1,0,No,
