dataset_id,dataset_name,original_number_features,final_number_features,original_number_rows,final_number_rows,original_density,final_density,binary_feature,initial_XGB_r2,initial_XGB_accuracy,initial_XGB_normalized_accuracy,final_XGB_r2,final_XGB_accuracy,final_XGB_normalized_accuracy,initial_NN_TORCH_r2,initial_NN_TORCH_accuracy,initial_NN_TORCH_normalized_accuracy,final_NN_TORCH_r2,final_NN_TORCH_accuracy,final_NN_TORCH_normalized_accuracy
46904,airfoil_self_noise,5,4,1503,1503,0.0010519022423784328,0.11044973544973545,,0.9506452753400219,,,0.9237997074510426,,,0.9479906539145562,,,0.9284126939989222,,
46905,Amazon_employee_access,9,1,32769,67,5.4331464888837344e-21,1.0,,,0.9422235784762486,0.8844471569524972,,,,,0.9445631166717526,0.8891262333435053,,,
46906,anneal,38,13,886,9,6.763894527119904e-16,0.140625,bf,,0.9814814814814815,0.9768518518518517,,,,,0.9925925925925926,0.9907407407407406,,,
46907,Another-Dataset-on-used-Fiat-500,7,3,1515,34,5.646737052785582e-10,0.3541666666666667,,0.8306756019592285,,,-0.18039584159851074,,,0.8360718488693237,,,-0.06458485126495361,,
46908,APSFailure,170,3,76000,52,0.0,0.8666666666666667,ch_000,,0.9922368421052632,0.9844736842105264,,0.9375,0.875,,0.9923245614035088,0.9846491228070176,,0.75,0.5
46910,bank-marketing,13,8,44905,2533,5.349772965830006e-12,0.18323206018518517,default,,0.892288410498378,0.7845768209967561,,0.8868421052631579,0.7736842105263158,,0.8958271896195813,0.7916543792391626,,0.8881578947368421,0.7763157894736843
46911,Bank_Customer_Churn,10,6,10000,723,4.6085769342056656e-12,0.6846590909090909,gender,,0.857,0.714,,0.8018433179723502,0.6036866359447004,,0.8473333333333334,0.6946666666666668,,0.8064516129032258,0.6129032258064515
46912,Bioresponse,1776,9,3751,87,0.0,0.169921875,D1736,,0.7744227353463587,0.5488454706927175,,0.6296296296296297,0.2592592592592593,,0.7619893428063943,0.5239786856127886,,0.6296296296296297,0.2592592592592593
46913,blood-transfusion-service-center,4,2,502,188,0.0001906424193814223,0.18377321603128055,,,0.72,0.43999999999999995,,,,,0.7333333333333333,0.46666666666666656,,,
46915,churn,19,5,5000,625,2.774980106523841e-36,0.24801587301587302,international_plan,,0.9553333333333334,0.9106666666666667,,0.7712765957446809,0.5425531914893618,,0.9186666666666666,0.8373333333333333,,0.7925531914893617,0.5851063829787233
46916,coil2000_insurance_policies,85,6,8261,17,4.188386241439141e-67,0.17708333333333334,contributionBicyclePolicies,,0.9338310145911096,0.8676620291822192,,,,,0.9331523583305056,0.8663047166610112,,,
46917,concrete_compressive_strength,8,2,996,452,3.0385513323393077e-15,0.20829493087557605,,0.8670734200344017,,,,,,0.8848030256611377,,,,,
46918,credit-g,20,7,1000,128,1.4033527721394342e-13,0.14814814814814814,people_liable,,0.7366666666666667,0.4733333333333334,,0.6666666666666666,0.33333333333333326,,0.72,0.43999999999999995,,0.717948717948718,0.4358974358974359
46919,credit_card_clients_default,23,4,29944,201,4.9283839727975495e-57,0.35892857142857143,SEX,,0.8214444444444444,0.6428888888888888,,0.5901639344262295,0.180327868852459,,0.8187777777777778,0.6375555555555557,,0.6885245901639344,0.3770491803278688
46920,customer_satisfaction_in_airline,21,8,129880,16181,1.8612414495883584e-18,0.20808899176954732,CustomerType,,0.9549070937275433,0.9098141874550867,,0.7936148300720907,0.5872296601441813,,0.9471050200184786,0.8942100400369573,,0.7987641606591143,0.5975283213182285
46921,diabetes,8,2,768,283,1.1174982314123598e-13,0.3541927409261577,,,0.7662337662337663,0.5324675324675325,,,,,0.7619047619047619,0.5238095238095237,,,
46922,Diabetes130US,47,9,71518,9,7.57843832073672e-37,0.140625,tolazamide,,0.9140100671140939,0.8280201342281879,,,,,0.9140100671140939,0.8280201342281879,,,
46923,diamonds,9,3,53595,276,2.616386759811203e-13,0.9857142857142858,,0.9816444516181946,,,-0.048642754554748535,,,0.9770452380180359,,,-0.026703596115112305,,
46924,E-CommereShippingData,10,7,10999,4761,9.03257841376853e-09,0.22041666666666668,Gender,,0.6718181818181819,0.34363636363636374,,0.5920223932820154,0.1840447865640309,,0.6703030303030303,0.3406060606060606,,0.5990202939118264,0.19804058782365286
46927,Fitness_Club,6,4,1499,176,1.051149451208826e-05,0.11027568922305764,time,,0.7644444444444445,0.528888888888889,,0.7547169811320755,0.509433962264151,,0.8022222222222222,0.6044444444444443,,0.8113207547169812,0.6226415094339623
46928,Food_Delivery_Time,9,4,45242,3221,5.407391379869e-16,0.3268060064935065,,0.3763386607170105,,,0.5038108825683594,,,0.31217968463897705,,,0.4618656635284424,,
46929,GiveMeSomeCredit,10,3,149354,323,1.066472191353621e-19,0.11945266272189349,FinancialDistressNextTwoYears,,0.9359333333333333,0.8718666666666666,,0.6597938144329897,0.31958762886597936,,0.9347777777777778,0.8695555555555556,,0.6391752577319587,0.2783505154639174
46930,hazelnut-spread-contaminant-detection,30,1,2400,781,4.281293536606587e-90,1.0,,,0.9180555555555555,0.836111111111111,,,,,0.9319444444444445,0.8638888888888889,,,
46931,healthcare_insurance_expenses,6,5,1335,986,0.0005399227364497593,0.21852836879432624,sex,0.8060575195119168,,,0.6144558777800787,,,0.8036260381015737,,,0.6108515611403429,,
46932,heloc,23,3,9871,184,1.4832573002592818e-35,0.13529411764705881,RiskPerformance,,0.727214786488209,0.45442957297641806,,0.7142857142857143,0.4285714285714286,,0.7154238368387508,0.43084767367750154,,0.7142857142857143,0.4285714285714286
46933,hiva_agnostic,1617,9,3825,55,0.0,0.107421875,molecule_structure_property_1609,,0.962738301559792,0.9441074523396878,,0.8235294117647058,0.7352941176470588,,0.962738301559792,0.9441074523396878,,0.8235294117647058,0.7352941176470588
46934,houses,8,2,20640,11032,5.234241194407872e-22,0.25136711629602626,,0.846845663220863,,,,,,0.8249877092303062,,,,,
46935,HR_Analytics_Job_Change_of_Data_Scientists,12,6,19084,1004,5.30889048214203e-10,0.10671768707482993,relevent_experience,,0.7947112038970077,0.5894224077940153,,0.7317880794701986,0.4635761589403973,,0.7931454418928323,0.5862908837856646,,0.7417218543046358,0.48344370860927155
46937,in_vehicle_coupon_recommendation,24,9,12587,178,1.445596993304525e-11,0.1545138888888889,expiration,,0.7609038360483448,0.5218076720966895,,0.5185185185185185,0.03703703703703698,,0.7401471361008933,0.48029427220178667,,0.4444444444444444,-0.11111111111111116
46938,Is-this-a-good-customer,13,7,1723,444,1.3356526487161817e-10,0.20555555555555555,sex,,0.8781431334622823,0.7562862669245647,,0.917910447761194,0.835820895522388,,0.8820116054158608,0.7640232108317215,,0.917910447761194,0.835820895522388
46939,kddcup09_appetency,212,9,50000,27,0.0,0.10546875,Var116,,0.9808,0.9616,,,,,0.9808,0.9616,,,
46940,Marketing_Campaign,25,8,2039,67,3.46008068054626e-32,0.11631944444444445,AcceptedCmp3,,0.8869047619047619,0.7738095238095237,,0.5714285714285714,0.1428571428571428,,0.8883928571428571,0.7767857142857142,,0.5714285714285714,0.1428571428571428
46941,maternal_health_risk,6,2,416,40,7.372958257713248e-06,0.3125,,,0.7770491803278688,0.6655737704918032,,,,,0.6885245901639344,0.5327868852459016,,,
46942,miami_housing,15,4,13776,2812,1.011417240408681e-44,0.24409722222222222,avno60plus,0.9254941444964038,,,0.3212568373024035,,,0.9115434826774812,,,0.26051798378350344,,
46980,MIC,111,6,1699,52,1.038332178849761e-68,0.10699588477366255,SEX,,0.8823529411764706,0.8655462184873949,,0.875,0.8571428571428571,,0.8686274509803922,0.849859943977591,,0.875,0.8571428571428571
46969,NATICUSdroid,86,9,7395,52,9.557813484108812e-23,0.1015625,com.android.launcher.permission.UNINSTALL_SHORTCUT,,0.9430604982206405,0.8861209964412811,,0.8125,0.625,,0.9430604982206405,0.8861209964412811,,0.8125,0.625
46947,online_shoppers_intention,17,5,12205,374,1.3093726543475288e-29,0.14429012345679013,Weekend,,0.8964585022979183,0.7929170045958367,,0.8584070796460177,0.7168141592920354,,0.8891592322249257,0.7783184644498513,,0.8849557522123894,0.7699115044247788
46949,physiochemical_protein,9,1,43974,341,4.142388833151155e-35,1.0,,0.6443268188168345,,,,,,0.5796755807829446,,,,,
46950,polish_companies_bankruptcy,64,1,5850,3255,9.503573095074777e-236,1.0003073140749847,,,0.961082910321489,0.9221658206429779,,,,,0.9509306260575296,0.9018612521150593,,,
46952,qsar-biodeg,41,5,1051,15,2.447263710241777e-63,0.15625,Presence_CBr_At_Dist1,,0.8580441640378549,0.7160883280757098,,,,,0.8138801261829653,0.6277602523659307,,,
46953,QSAR-TID-11,1024,9,5259,60,2.925415855472343e-305,0.1171875,FCFP6_1024_1015,0.7471765636716723,,,-0.07448435284690103,,,0.7482396788814356,,,-0.3408890354537173,,
46954,QSAR_fish_toxicity,6,2,774,23,7.633914023940202e-10,0.6571428571428571,,0.4655416266261233,,,,,,0.5245388295405291,,,,,
46955,SDSS17,11,2,78053,6000,2.0754355569286495e-42,1.0,,,0.9783054321831226,0.9674581482746839,,,,,0.9716860266484455,0.9575290399726682,,,
46956,seismic-bumps,15,6,2578,53,9.400295346125563e-18,0.1840277777777778,seismic,,0.9201030927835051,0.8402061855670102,,0.9375,0.875,,0.9201030927835051,0.8402061855670102,,0.9375,0.875
46958,splice,60,7,3005,2554,6.838044444444444e-38,0.1558837890625,,,0.9665621734587252,0.9498432601880876,,0.5827900912646675,0.3741851368970013,,0.93521421107628,0.90282131661442,,0.5853976531942634,0.3780964797913951
46960,students_dropout_and_academic_success,36,9,4424,175,1.2905192552173215e-40,0.11393229166666667,Daytimeevening_attendance,,0.7748493975903614,0.6622740963855421,,0.5660377358490566,0.3490566037735849,,0.7424698795180723,0.6137048192771084,,0.5283018867924528,0.29245283018867924
46961,superconductivity,81,2,15170,45,3.872284267669358e-287,0.7142857142857143,,0.917707828834914,,,,,,0.8985818526501631,,,,,
46962,taiwanese_bankruptcy_prediction,94,2,6819,389,0.0,0.510498687664042,Liability_Assets_Flag,,0.969208211143695,0.9384164222873901,,,,,0.9687194525904204,0.9374389051808407,,,
46963,website_phishing,9,8,676,558,0.0772748056698674,0.19135802469135801,age_of_domain,,0.8817733990147784,0.8226600985221674,,0.7738095238095238,0.6607142857142857,,0.8620689655172413,0.793103448275862,,0.7678571428571429,0.6517857142857143
46964,wine_quality,12,3,5320,2368,4.506093482946806e-22,0.12550349798600804,wine_color,0.4495890140533447,,,0.07060301303863525,,,0.3202652335166931,,,0.04339390993118286,,
46979,jm1,21,2,8824,227,3.679058450207553e-50,0.13757575757575757,,,0.8135333741579914,0.6270667483159829,,,,,0.8147581139007961,0.6295162278015922,,,
